"Products and product groups 3 4","August 2021","July 2022","August 2022","July 2022 to August 2022","August 2021 to August 2022"
,"2002=100",,,,
"Food 5","160.0","174.6","175.9","0.7","9.9"
"Food purchased from stores","157.8","173.4","175.2","1.0","11.0"
"Meat","183.2","193.0","196.1","1.6","7.0"
"Fresh or frozen meat (excluding poultry)","181.0","195.6","193.8","-0.9","7.1"
"Fresh or frozen beef","197.1","214.6","215.0","0.2","9.1"
"Fresh or frozen pork","140.9","146.6","142.9","-2.5","1.4"
"Fresh or frozen poultry","193.9","185.2","199.1","7.5","2.7"
"Fresh or frozen chicken","197.4","188.3","203.8","8.2","3.2"
"Processed meat","176.0","194.5","194.6","0.1","10.6"
"Ham and bacon","..","..","..","...","..."
"Other processed meat","..","..","..","...","..."
"Fish, seafood and other marine products","147.8","162.7","164.8","1.3","11.5"
"Fish","158.2","175.8","176.9","0.6","11.8"
"Fresh or frozen fish (including portions and fish sticks)","..","..","..","...","..."
"Canned and other preserved fish","..","..","..","...","..."
"Dairy products and eggs","152.7","165.2","164.9","-0.2","8.0"
"Dairy products","148.7","159.7","159.5","-0.1","7.3"
"Fresh milk","141.7","156.8","156.5","-0.2","10.4"
"Butter","163.3","187.9","191.0","1.6","17.0"
"Cheese","153.9","158.2","161.2","1.9","4.7"
"Ice cream and related products","..","..","..","...","..."
"Eggs","194.6","222.6","220.5","-0.9","13.3"
"Bakery and cereal products (excluding baby food)","164.8","187.1","190.8","2.0","15.8"
"Bakery products","173.0","196.0","199.9","2.0","15.5"
"Bread, rolls and buns","..","..","..","...","..."
"Cookies and crackers","..","..","..","...","..."
"Other bakery products","..","..","..","...","..."
"Cereal products (excluding baby food)","149.0","169.8","173.0","1.9","16.1"
"Rice and rice-based mixes","..","..","..","...","..."
"Breakfast cereal and other cereal products (excluding baby food)","..","..","..","...","..."
"Pasta products","..","..","..","...","..."
"Flour and flour-based mixes","..","..","..","...","..."
"Fruit, fruit preparations and nuts","140.6","155.7","157.4","1.1","11.9"
"Fresh fruit","133.5","150.9","153.0","1.4","14.6"
"Apples","..","..","..","...","..."
"Oranges","..","..","..","...","..."
"Bananas","..","..","..","...","..."
"Other fresh fruit","..","..","..","...","..."
"Preserved fruit and fruit preparations","151.4","162.2","164.5","1.4","8.7"
"Fruit juices","..","..","..","...","..."
"Other preserved fruit and fruit preparations","..","..","..","...","..."
"Nuts and seeds","..","..","..","...","..."
"Vegetables and vegetable preparations","160.3","178.0","176.6","-0.8","10.2"
"Fresh vegetables","160.2","176.8","174.5","-1.3","8.9"
"Potatoes","..","..","..","...","..."
"Tomatoes","..","..","..","...","..."
"Lettuce","..","..","..","...","..."
"Other fresh vegetables","..","..","..","...","..."
"Preserved vegetables and vegetable preparations","162.2","183.4","184.9","0.8","14.0"
"Frozen and dried vegetables","..","..","..","...","..."
"Canned vegetables and other vegetable preparations","..","..","..","...","..."
"Other food products and non-alcoholic beverages","143.3","160.0","162.7","1.7","13.5"
"Sugar and confectionery","139.6","154.4","155.2","0.5","11.2"
"Edible fats and oils","190.1","236.9","238.8","0.8","25.6"
"Coffee and tea","136.6","156.4","155.1","-0.8","13.5"
"Condiments, spices and vinegars","..","..","..","...","..."
"Other food preparations","..","..","..","...","..."
"Non-alcoholic beverages","127.8","139.9","146.4","4.6","14.6"
"Food purchased from restaurants 5","165.6","177.5","177.8","0.2","7.4"
"Food purchased from table-service restaurants 5","..","..","..","...","..."
"Food purchased from fast food and take-out restaurants 5","..","..","..","...","..."
