
"Products and product groups 3 4","February 2021","January 2022","February 2022","January 2022 to February 2022","February 2021 to February 2022"
,"2002=100",,,,
"Food 5","157.1","166.7","168.8","1.3","7.4"
"Food purchased from stores","155.0","165.5","167.9","1.5","8.3"
"Meat","168.0","187.9","189.8","1.0","13.0"
"Fresh or frozen meat (excluding poultry)","165.7","189.2","191.2","1.1","15.4"
"Fresh or frozen beef","179.9","210.9","212.3","0.7","18.0"
"Fresh or frozen pork","129.3","141.3","141.8","0.4","9.7"
"Fresh or frozen poultry","171.2","187.5","187.5","0.0","9.5"
"Fresh or frozen chicken","171.7","189.9","189.9","0.0","10.6"
"Processed meat","166.2","185.4","188.6","1.7","13.5"
"Ham and bacon","..","..","..","...","..."
"Other processed meat","..","..","..","...","..."
"Fish, seafood and other marine products","146.7","153.8","153.9","0.1","4.9"
"Fish","155.9","162.6","164.5","1.2","5.5"
"Fresh or frozen fish (including portions and fish sticks)","..","..","..","...","..."
"Canned and other preserved fish","..","..","..","...","..."
"Dairy products and eggs","146.1","153.4","157.7","2.8","7.9"
"Dairy products","142.8","149.4","154.0","3.1","7.8"
"Fresh milk","141.9","143.6","153.2","6.7","8.0"
"Butter","150.4","168.4","170.8","1.4","13.6"
"Cheese","147.6","154.1","157.8","2.4","6.9"
"Ice cream and related products","..","..","..","...","..."
"Eggs","181.5","195.6","196.7","0.6","8.4"
"Bakery and cereal products (excluding baby food)","162.8","172.4","175.5","1.8","7.8"
"Bakery products","172.7","181.4","186.0","2.5","7.7"
"Bread, rolls and buns","..","..","..","...","..."
"Cookies and crackers","..","..","..","...","..."
"Other bakery products","..","..","..","...","..."
"Cereal products (excluding baby food)","145.0","155.4","156.7","0.8","8.1"
"Rice and rice-based mixes","..","..","..","...","..."
"Breakfast cereal and other cereal products (excluding baby food)","..","..","..","...","..."
"Pasta products","..","..","..","...","..."
"Flour and flour-based mixes","..","..","..","...","..."
"Fruit, fruit preparations and nuts","143.6","151.5","152.3","0.5","6.1"
"Fresh fruit","138.0","145.7","147.6","1.3","7.0"
"Apples","..","..","..","...","..."
"Oranges","..","..","..","...","..."
"Bananas","..","..","..","...","..."
"Other fresh fruit","..","..","..","...","..."
"Preserved fruit and fruit preparations","152.9","160.9","160.4","-0.3","4.9"
"Fruit juices","..","..","..","...","..."
"Other preserved fruit and fruit preparations","..","..","..","...","..."
"Nuts and seeds","..","..","..","...","..."
"Vegetables and vegetable preparations","170.4","175.6","176.1","0.3","3.3"
"Fresh vegetables","174.6","179.3","178.3","-0.6","2.1"
"Potatoes","..","..","..","...","..."
"Tomatoes","..","..","..","...","..."
"Lettuce","..","..","..","...","..."
"Other fresh vegetables","..","..","..","...","..."
"Preserved vegetables and vegetable preparations","157.6","165.8","170.6","2.9","8.2"
"Frozen and dried vegetables","..","..","..","...","..."
"Canned vegetables and other vegetable preparations","..","..","..","...","..."
"Other food products and non-alcoholic beverages","140.4","151.2","154.6","2.2","10.1"
"Sugar and confectionery","145.0","151.0","155.8","3.2","7.4"
"Edible fats and oils","166.7","204.0","214.4","5.1","28.6"
"Coffee and tea","137.1","145.7","150.3","3.2","9.6"
"Condiments, spices and vinegars","..","..","..","...","..."
"Other food preparations","..","..","..","...","..."
"Non-alcoholic beverages","126.0","136.9","137.5","0.4","9.1"
"Food purchased from restaurants 5","162.5","169.5","171.1","0.9","5.3"
"Food purchased from table-service restaurants 5","..","..","..","...","..."
"Food purchased from fast food and take-out restaurants 5","..","..","..","...","..."

