
"Products and product groups 3 4","January 2021","December 2021","January 2022","December 2021 to January 2022","January 2021 to January 2022"
,"2002=100",,,,
"Food 5","157.1","164.1","166.7","1.6","6.1"
"Food purchased from stores","155.1","162.3","165.5","2.0","6.7"
"Meat","171.5","185.5","187.9","1.3","9.6"
"Fresh or frozen meat (excluding poultry)","176.1","188.9","189.2","0.2","7.4"
"Fresh or frozen beef","192.2","207.4","210.9","1.7","9.7"
"Fresh or frozen pork","138.4","143.8","141.3","-1.7","2.1"
"Fresh or frozen poultry","172.7","181.4","187.5","3.4","8.6"
"Fresh or frozen chicken","174.4","183.8","189.9","3.3","8.9"
"Processed meat","164.3","183.3","185.4","1.1","12.8"
"Ham and bacon","..","..","..","...","..."
"Other processed meat","..","..","..","...","..."
"Fish, seafood and other marine products","146.0","150.8","153.8","2.0","5.3"
"Fish","154.6","160.3","162.6","1.4","5.2"
"Fresh or frozen fish (including portions and fish sticks)","..","..","..","...","..."
"Canned and other preserved fish","..","..","..","...","..."
"Dairy products and eggs","145.5","150.0","153.4","2.3","5.4"
"Dairy products","142.1","146.1","149.4","2.3","5.1"
"Fresh milk","137.6","143.0","143.6","0.4","4.4"
"Butter","157.6","159.5","168.4","5.6","6.9"
"Cheese","147.5","148.3","154.1","3.9","4.5"
"Ice cream and related products","..","..","..","...","..."
"Eggs","181.7","190.6","195.6","2.6","7.6"
"Bakery and cereal products (excluding baby food)","160.9","172.0","172.4","0.2","7.1"
"Bakery products","168.0","181.4","181.4","0.0","8.0"
"Bread, rolls and buns","..","..","..","...","..."
"Cookies and crackers","..","..","..","...","..."
"Other bakery products","..","..","..","...","..."
"Cereal products (excluding baby food)","147.5","154.6","155.4","0.5","5.4"
"Rice and rice-based mixes","..","..","..","...","..."
"Breakfast cereal and other cereal products (excluding baby food)","..","..","..","...","..."
"Pasta products","..","..","..","...","..."
"Flour and flour-based mixes","..","..","..","...","..."
"Fruit, fruit preparations and nuts","141.7","147.3","151.5","2.9","6.9"
"Fresh fruit","135.2","141.5","145.7","3.0","7.8"
"Apples","..","..","..","...","..."
"Oranges","..","..","..","...","..."
"Bananas","..","..","..","...","..."
"Other fresh fruit","..","..","..","...","..."
"Preserved fruit and fruit preparations","149.8","156.7","160.9","2.7","7.4"
"Fruit juices","..","..","..","...","..."
"Other preserved fruit and fruit preparations","..","..","..","...","..."
"Nuts and seeds","..","..","..","...","..."
"Vegetables and vegetable preparations","169.7","171.4","175.6","2.5","3.5"
"Fresh vegetables","174.1","172.8","179.3","3.8","3.0"
"Potatoes","..","..","..","...","..."
"Tomatoes","..","..","..","...","..."
"Lettuce","..","..","..","...","..."
"Other fresh vegetables","..","..","..","...","..."
"Preserved vegetables and vegetable preparations","156.1","168.4","165.8","-1.5","6.2"
"Frozen and dried vegetables","..","..","..","...","..."
"Canned vegetables and other vegetable preparations","..","..","..","...","..."
"Other food products and non-alcoholic beverages","141.2","147.5","151.2","2.5","7.1"
"Sugar and confectionery","143.2","144.3","151.0","4.6","5.4"
"Edible fats and oils","166.7","202.6","204.0","0.7","22.4"
"Coffee and tea","137.9","143.8","145.7","1.3","5.7"
"Condiments, spices and vinegars","..","..","..","...","..."
"Other food preparations","..","..","..","...","..."
"Non-alcoholic beverages","130.3","130.5","136.9","4.9","5.1"
"Food purchased from restaurants 5","162.2","168.5","169.5","0.6","4.5"
"Food purchased from table-service restaurants 5","..","..","..","...","..."
"Food purchased from fast food and take-out restaurants 5","..","..","..","...","..."

