"Products and product groups 3 4","June 2021","May 2022","June 2022","May 2022 to June 2022","June 2021 to June 2022"
,"2002=100",,,,
"Food 5","158.1","173.4","173.2","-0.1","9.6"
"Food purchased from stores","156.5","172.6","172.2","-0.2","10.0"
"Meat","176.4","193.0","193.1","0.1","9.5"
"Fresh or frozen meat (excluding poultry)","178.8","192.1","194.0","1.0","8.5"
"Fresh or frozen beef","194.9","214.0","213.7","-0.1","9.6"
"Fresh or frozen pork","139.5","142.1","143.1","0.7","2.6"
"Fresh or frozen poultry","178.0","195.6","197.3","0.9","10.8"
"Fresh or frozen chicken","179.9","199.7","201.8","1.1","12.2"
"Processed meat","171.2","190.5","187.6","-1.5","9.6"
"Ham and bacon","..","..","..","...","..."
"Other processed meat","..","..","..","...","..."
"Fish, seafood and other marine products","147.3","164.3","164.7","0.2","11.8"
"Fish","157.3","175.9","176.2","0.2","12.0"
"Fresh or frozen fish (including portions and fish sticks)","..","..","..","...","..."
"Canned and other preserved fish","..","..","..","...","..."
"Dairy products and eggs","148.8","164.8","162.8","-1.2","9.4"
"Dairy products","144.8","161.1","158.3","-1.7","9.3"
"Fresh milk","142.4","155.7","156.1","0.3","9.6"
"Butter","164.1","193.4","192.5","-0.5","17.3"
"Cheese","149.5","164.7","160.8","-2.4","7.6"
"Ice cream and related products","..","..","..","...","..."
"Eggs","189.8","204.8","209.6","2.3","10.4"
"Bakery and cereal products (excluding baby food)","164.7","182.3","182.5","0.1","10.8"
"Bakery products","173.6","190.9","191.1","0.1","10.1"
"Bread, rolls and buns","..","..","..","...","..."
"Cookies and crackers","..","..","..","...","..."
"Other bakery products","..","..","..","...","..."
"Cereal products (excluding baby food)","148.1","165.3","165.5","0.1","11.7"
"Rice and rice-based mixes","..","..","..","...","..."
"Breakfast cereal and other cereal products (excluding baby food)","..","..","..","...","..."
"Pasta products","..","..","..","...","..."
"Flour and flour-based mixes","..","..","..","...","..."
"Fruit, fruit preparations and nuts","142.9","156.7","155.8","-0.6","9.0"
"Fresh fruit","137.0","152.5","151.8","-0.5","10.8"
"Apples","..","..","..","...","..."
"Oranges","..","..","..","...","..."
"Bananas","..","..","..","...","..."
"Other fresh fruit","..","..","..","...","..."
"Preserved fruit and fruit preparations","150.6","160.5","159.8","-0.4","6.1"
"Fruit juices","..","..","..","...","..."
"Other preserved fruit and fruit preparations","..","..","..","...","..."
"Nuts and seeds","..","..","..","...","..."
"Vegetables and vegetable preparations","161.2","176.3","176.1","-0.1","9.2"
"Fresh vegetables","161.4","176.4","175.5","-0.5","8.7"
"Potatoes","..","..","..","...","..."
"Tomatoes","..","..","..","...","..."
"Lettuce","..","..","..","...","..."
"Other fresh vegetables","..","..","..","...","..."
"Preserved vegetables and vegetable preparations","162.1","178.0","179.7","1.0","10.9"
"Frozen and dried vegetables","..","..","..","...","..."
"Canned vegetables and other vegetable preparations","..","..","..","...","..."
"Other food products and non-alcoholic beverages","143.3","159.4","159.2","-0.1","11.1"
"Sugar and confectionery","144.3","152.8","153.8","0.7","6.6"
"Edible fats and oils","177.1","224.7","229.3","2.0","29.5"
"Coffee and tea","139.5","155.7","155.0","-0.4","11.1"
"Condiments, spices and vinegars","..","..","..","...","..."
"Other food preparations","..","..","..","...","..."
"Non-alcoholic beverages","130.8","141.7","139.3","-1.7","6.5"
"Food purchased from restaurants 5","162.3","175.4","175.8","0.2","8.3"
"Food purchased from table-service restaurants 5","..","..","..","...","..."
"Food purchased from fast food and take-out restaurants 5","..","..","..","...","..."
