
"Products and product groups 3 4","March 2021","February 2022","March 2022","February 2022 to March 2022","March 2021 to March 2022"
,"2002=100",,,,
"Food 5","157.6","168.8","170.5","1.0","8.2"
"Food purchased from stores","155.7","167.9","169.9","1.2","9.1"
"Meat","171.3","189.8","189.4","-0.2","10.6"
"Fresh or frozen meat (excluding poultry)","170.9","191.2","191.7","0.3","12.2"
"Fresh or frozen beef","187.0","212.3","213.5","0.6","14.2"
"Fresh or frozen pork","132.5","141.8","139.8","-1.4","5.5"
"Fresh or frozen poultry","175.2","187.5","184.7","-1.5","5.4"
"Fresh or frozen chicken","176.1","189.9","186.4","-1.8","5.8"
"Processed meat","167.3","188.6","188.8","0.1","12.9"
"Ham and bacon","..","..","..","...","..."
"Other processed meat","..","..","..","...","..."
"Fish, seafood and other marine products","149.1","153.9","155.3","0.9","4.2"
"Fish","158.3","164.5","164.5","0.0","3.9"
"Fresh or frozen fish (including portions and fish sticks)","..","..","..","...","..."
"Canned and other preserved fish","..","..","..","...","..."
"Dairy products and eggs","148.1","157.7","165.8","5.1","12.0"
"Dairy products","144.2","154.0","162.9","5.8","13.0"
"Fresh milk","141.2","153.2","155.9","1.8","10.4"
"Butter","156.9","170.8","189.9","11.2","21.0"
"Cheese","147.6","157.8","169.1","7.2","14.6"
"Ice cream and related products","..","..","..","...","..."
"Eggs","188.6","196.7","198.7","1.0","5.4"
"Bakery and cereal products (excluding baby food)","162.9","175.5","180.6","2.9","10.9"
"Bakery products","173.2","186.0","187.5","0.8","8.3"
"Bread, rolls and buns","..","..","..","...","..."
"Cookies and crackers","..","..","..","...","..."
"Other bakery products","..","..","..","...","..."
"Cereal products (excluding baby food)","144.6","156.7","165.9","5.9","14.7"
"Rice and rice-based mixes","..","..","..","...","..."
"Breakfast cereal and other cereal products (excluding baby food)","..","..","..","...","..."
"Pasta products","..","..","..","...","..."
"Flour and flour-based mixes","..","..","..","...","..."
"Fruit, fruit preparations and nuts","142.8","152.3","154.7","1.6","8.3"
"Fresh fruit","136.0","147.6","148.3","0.5","9.0"
"Apples","..","..","..","...","..."
"Oranges","..","..","..","...","..."
"Bananas","..","..","..","...","..."
"Other fresh fruit","..","..","..","...","..."
"Preserved fruit and fruit preparations","151.2","160.4","166.7","3.9","10.3"
"Fruit juices","..","..","..","...","..."
"Other preserved fruit and fruit preparations","..","..","..","...","..."
"Nuts and seeds","..","..","..","...","..."
"Vegetables and vegetable preparations","163.3","176.1","172.1","-2.3","5.4"
"Fresh vegetables","165.9","178.3","172.7","-3.1","4.1"
"Potatoes","..","..","..","...","..."
"Tomatoes","..","..","..","...","..."
"Lettuce","..","..","..","...","..."
"Other fresh vegetables","..","..","..","...","..."
"Preserved vegetables and vegetable preparations","155.9","170.6","172.0","0.8","10.3"
"Frozen and dried vegetables","..","..","..","...","..."
"Canned vegetables and other vegetable preparations","..","..","..","...","..."
"Other food products and non-alcoholic beverages","143.5","154.6","156.5","1.2","9.1"
"Sugar and confectionery","146.4","155.8","151.3","-2.9","3.3"
"Edible fats and oils","170.6","214.4","215.2","0.4","26.1"
"Coffee and tea","136.2","150.3","147.6","-1.8","8.4"
"Condiments, spices and vinegars","..","..","..","...","..."
"Other food preparations","..","..","..","...","..."
"Non-alcoholic beverages","129.6","137.5","140.1","1.9","8.1"
"Food purchased from restaurants 5","162.3","171.1","171.9","0.5","5.9"
"Food purchased from table-service restaurants 5","..","..","..","...","..."
"Food purchased from fast food and take-out restaurants 5","..","..","..","...","..."

