"Products and product groups 3 4","May 2021","April 2022","May 2022","April 2022 to May 2022","May 2021 to May 2022"
,"2002=100",,,,
"Food 5","158.1","171.6","173.4","1.0","9.7"
"Food purchased from stores","156.4","170.4","172.6","1.3","10.4"
"Meat","175.0","191.4","193.0","0.8","10.3"
"Fresh or frozen meat (excluding poultry)","177.4","190.8","192.1","0.7","8.3"
"Fresh or frozen beef","194.2","210.9","214.0","1.5","10.2"
"Fresh or frozen pork","138.3","143.6","142.1","-1.0","2.7"
"Fresh or frozen poultry","175.1","192.4","195.6","1.7","11.7"
"Fresh or frozen chicken","177.0","196.7","199.7","1.5","12.8"
"Processed meat","170.9","189.7","190.5","0.4","11.5"
"Ham and bacon","..","..","..","...","..."
"Other processed meat","..","..","..","...","..."
"Fish, seafood and other marine products","148.8","156.9","164.3","4.7","10.4"
"Fish","159.3","168.6","175.9","4.3","10.4"
"Fresh or frozen fish (including portions and fish sticks)","..","..","..","...","..."
"Canned and other preserved fish","..","..","..","...","..."
"Dairy products and eggs","150.5","163.6","164.8","0.7","9.5"
"Dairy products","146.7","159.4","161.1","1.1","9.8"
"Fresh milk","141.3","156.3","155.7","-0.4","10.2"
"Butter","167.0","188.4","193.4","2.7","15.8"
"Cheese","150.9","161.7","164.7","1.9","9.1"
"Ice cream and related products","..","..","..","...","..."
"Eggs","190.3","206.7","204.8","-0.9","7.6"
"Bakery and cereal products (excluding baby food)","165.0","181.5","182.3","0.4","10.5"
"Bakery products","174.8","188.4","190.9","1.3","9.2"
"Bread, rolls and buns","..","..","..","...","..."
"Cookies and crackers","..","..","..","...","..."
"Other bakery products","..","..","..","...","..."
"Cereal products (excluding baby food)","147.4","166.8","165.3","-0.9","12.1"
"Rice and rice-based mixes","..","..","..","...","..."
"Breakfast cereal and other cereal products (excluding baby food)","..","..","..","...","..."
"Pasta products","..","..","..","...","..."
"Flour and flour-based mixes","..","..","..","...","..."
"Fruit, fruit preparations and nuts","143.3","153.6","156.7","2.0","9.4"
"Fresh fruit","137.5","148.5","152.5","2.7","10.9"
"Apples","..","..","..","...","..."
"Oranges","..","..","..","...","..."
"Bananas","..","..","..","...","..."
"Other fresh fruit","..","..","..","...","..."
"Preserved fruit and fruit preparations","148.6","158.0","160.5","1.6","8.0"
"Fruit juices","..","..","..","...","..."
"Other preserved fruit and fruit preparations","..","..","..","...","..."
"Nuts and seeds","..","..","..","...","..."
"Vegetables and vegetable preparations","159.3","169.7","176.3","3.9","10.7"
"Fresh vegetables","159.3","168.5","176.4","4.7","10.7"
"Potatoes","..","..","..","...","..."
"Tomatoes","..","..","..","...","..."
"Lettuce","..","..","..","...","..."
"Other fresh vegetables","..","..","..","...","..."
"Preserved vegetables and vegetable preparations","160.9","175.2","178.0","1.6","10.6"
"Frozen and dried vegetables","..","..","..","...","..."
"Canned vegetables and other vegetable preparations","..","..","..","...","..."
"Other food products and non-alcoholic beverages","143.2","159.3","159.4","0.1","11.3"
"Sugar and confectionery","147.0","154.5","152.8","-1.1","3.9"
"Edible fats and oils","175.0","219.6","224.7","2.3","28.4"
"Coffee and tea","139.2","152.0","155.7","2.4","11.9"
"Condiments, spices and vinegars","..","..","..","...","..."
"Other food preparations","..","..","..","...","..."
"Non-alcoholic beverages","130.9","141.2","141.7","0.4","8.3"
"Food purchased from restaurants 5","162.4","174.6","175.4","0.5","8.0"
"Food purchased from table-service restaurants 5","..","..","..","...","..."
"Food purchased from fast food and take-out restaurants 5","..","..","..","...","..."

