"Products and product groups 3 4","November 2021","October 2022","November 2022","October 2022 to November 2022","November 2021 to November 2022"
,"2002=100",,,,
"Food 5","162.8","176.4","178.8","1.4","9.8"
"Food purchased from stores","160.9","175.2","178.4","1.8","10.9"
"Meat","184.6","196.4","194.3","-1.1","5.3"
"Fresh or frozen meat (excluding poultry)","187.8","192.7","190.7","-1.0","1.5"
"Fresh or frozen beef","205.9","216.5","211.3","-2.4","2.6"
"Fresh or frozen pork","142.7","142.3","138.3","-2.8","-3.1"
"Fresh or frozen poultry","182.6","204.0","194.7","-4.6","6.6"
"Fresh or frozen chicken","184.5","209.8","198.7","-5.3","7.7"
"Processed meat","181.0","193.1","196.0","1.5","8.3"
"Ham and bacon","..","..","..","...","..."
"Other processed meat","..","..","..","...","..."
"Fish, seafood and other marine products","149.3","163.7","164.0","0.2","9.8"
"Fish","157.4","175.5","177.0","0.9","12.5"
"Fresh or frozen fish (including portions and fish sticks)","..","..","..","...","..."
"Canned and other preserved fish","..","..","..","...","..."
"Dairy products and eggs","152.0","166.9","171.0","2.5","12.5"
"Dairy products","148.2","161.3","165.5","2.6","11.7"
"Fresh milk","142.6","162.6","161.5","-0.7","13.3"
"Butter","162.8","195.0","196.4","0.7","20.6"
"Cheese","151.3","162.1","167.9","3.6","11.0"
"Ice cream and related products","..","..","..","...","..."
"Eggs","192.3","224.5","227.7","1.4","18.4"
"Bakery and cereal products (excluding baby food)","169.6","193.8","194.4","0.3","14.6"
"Bakery products","177.2","201.2","201.5","0.1","13.7"
"Bread, rolls and buns","..","..","..","...","..."
"Cookies and crackers","..","..","..","...","..."
"Other bakery products","..","..","..","...","..."
"Cereal products (excluding baby food)","154.5","178.0","179.1","0.6","15.9"
"Rice and rice-based mixes","..","..","..","...","..."
"Breakfast cereal and other cereal products (excluding baby food)","..","..","..","...","..."
"Pasta products","..","..","..","...","..."
"Flour and flour-based mixes","..","..","..","...","..."
"Fruit, fruit preparations and nuts","142.9","150.4","157.4","4.7","10.1"
"Fresh fruit","134.3","143.2","151.4","5.7","12.7"
"Apples","..","..","..","...","..."
"Oranges","..","..","..","...","..."
"Bananas","..","..","..","...","..."
"Other fresh fruit","..","..","..","...","..."
"Preserved fruit and fruit preparations","157.4","163.3","166.4","1.9","5.7"
"Fruit juices","..","..","..","...","..."
"Other preserved fruit and fruit preparations","..","..","..","...","..."
"Nuts and seeds","..","..","..","...","..."
"Vegetables and vegetable preparations","168.7","173.6","185.1","6.6","9.7"
"Fresh vegetables","169.5","169.9","185.4","9.1","9.4"
"Potatoes","..","..","..","...","..."
"Tomatoes","..","..","..","...","..."
"Lettuce","..","..","..","...","..."
"Other fresh vegetables","..","..","..","...","..."
"Preserved vegetables and vegetable preparations","168.1","186.7","186.3","-0.2","10.8"
"Frozen and dried vegetables","..","..","..","...","..."
"Canned vegetables and other vegetable preparations","..","..","..","...","..."
"Other food products and non-alcoholic beverages","146.8","165.6","167.3","1.0","14.0"
"Sugar and confectionery","144.2","155.4","156.8","0.9","8.7"
"Edible fats and oils","196.8","239.8","248.8","3.8","26.4"
"Coffee and tea","141.8","161.6","166.0","2.7","17.1"
"Condiments, spices and vinegars","..","..","..","...","..."
"Other food preparations","..","..","..","...","..."
"Non-alcoholic beverages","133.3","153.0","158.1","3.3","18.6"
"Food purchased from restaurants 5","167.6","179.4","179.9","0.3","7.3"
"Food purchased from table-service restaurants 5","..","..","..","...","..."
"Food purchased from fast food and take-out restaurants 5","..","..","..","...","..."
