,Economic region code,Economic region name,Census division code,Census division name,Census subdivision code,Census subdivision name,Total Population,Total Private Dwellings,Population density (people/square km),Land area (square km),Total - Age groups,0-14 Years,15-64 Years,15-19 Years,20-24 Years,>=65,Average Age of Population,Median Age of Population,Total households by #/room,1 or fewer per room,>1 per room,Total households by housing suitability,Suitable housing,Unsuitable housing,Total owned and rented households >0 income,<30 percent of income spent on shelter,>=30 percent of income spent on shelter,30 - <100 percent of income spent on shelter,Total commuting duration,Commute <15 min,Commute 15-29 min,Commute 30-44 min,Commute 45-59 min,Commute >=60 min
0,3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501005,South Glengarry,13330,5848,22,605.02,13330,1995,7980,725,570,3355,46,50.4,5430,5390,35,5430,5300,135,5160,4500,660,605,4945,1485,2030,825,250,360
1,3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501007,Akwesasne (Part) 59,,,,11.81,,,,,,,,,,,,,,,,,,,,,,,,
2,3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501011,South Stormont,13570,5583,30.3,447.71,13570,2130,8335,705,570,3100,44.8,48,5415,5395,20,5415,5330,80,5295,4725,570,505,5510,1355,2660,775,275,435
3,3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501012,Cornwall,47845,22214,777.9,61.5,47845,7505,28195,2325,2445,12145,45,46.4,21390,21095,290,21390,20425,960,21315,16605,4705,4455,15700,9380,4145,910,345,925
4,3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501020,South Dundas,11044,4821,21.2,521.54,11045,1655,6390,505,440,2995,46.7,50.8,4650,4600,50,4650,4510,145,4490,3860,625,580,3895,1170,970,760,465,530
5,3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501030,North Dundas,11304,4673,22.5,502.41,11305,1920,7060,550,465,2325,43.3,44.8,4540,4505,30,4540,4430,105,4285,3730,555,525,4210,1125,820,1005,895,360
6,3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501042,North Stormont,7400,2949,14.4,515.46,7400,1440,4810,405,350,1150,39.8,39.6,2850,2835,20,2850,2805,50,2685,2335,350,330,2810,555,805,725,445,280
7,3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501050,North Glengarry,10144,4714,15.8,643.4,10140,1390,6005,525,475,2755,47.3,51.6,4425,4390,30,4425,4295,130,4190,3505,685,640,3705,1625,825,540,340,370
8,3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502001,East Hawkesbury,3418,1507,14.5,235.06,3415,515,2095,130,135,810,46.1,50.8,1425,1410,15,1425,1395,30,1360,1120,235,220,1270,385,420,210,105,160
9,3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502008,Hawkesbury,10194,5308,1009.7,10.1,10195,1200,5745,450,385,3250,49.7,54.8,5080,5060,20,5080,4955,125,5075,3970,1105,1050,3265,1925,535,330,190,285
10,3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502010,Champlain,8665,3964,41.9,207.02,8665,1110,5180,440,340,2375,47.8,52.4,3750,3735,15,3750,3680,75,3680,3205,470,465,3185,1520,840,295,190,340
11,3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502023,Alfred and Plantagenet,9949,4297,25.4,391.79,9945,1575,6285,440,440,2085,43.8,46.4,4080,4055,25,4080,3980,100,3960,3285,675,630,3795,750,955,805,715,570
12,3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502025,The Nation / La Nation,13350,5259,20.3,658.93,13350,2500,8820,690,580,2035,40.3,40.8,5100,5055,45,5100,4995,110,4880,4240,645,575,5290,1150,1375,1625,740,400
13,3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502036,Clarence-Rockland,26505,10316,89.1,297.47,26505,4710,16855,1355,1235,4945,42,43.2,10095,10010,85,10095,9860,235,10025,8620,1400,1355,9320,2100,1925,3105,1465,725
14,3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502044,Casselman,3960,1630,772.2,5.13,3960,650,2485,205,220,830,42.8,43.6,1580,1570,10,1580,1550,30,1575,1330,245,235,1470,470,265,440,210,90
15,3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502048,Russell,19598,7335,98.6,198.78,19595,3855,12930,1190,880,2810,39.4,39.6,7225,7205,25,7225,7070,160,7145,6305,845,760,6850,1730,1520,2710,650,240
16,3510, Ottawa,3506,"Ottawa, Census division (CDR)",3506008,Ottawa,1017449,427113,364.9,2788.2,1017445,166920,678375,60385,70785,172150,40.7,40,407250,398225,9030,407250,385180,22070,404915,323340,81575,72595,275700,74060,116260,55365,15975,14030
17,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507004,Edwardsburgh/Cardinal,7505,3285,24.2,309.91,7505,1140,4645,335,340,1720,44.9,48.4,3140,3115,25,3140,3050,85,3075,2675,405,380,2780,680,925,550,345,280
18,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507006,Augusta,7386,3046,23.5,313.77,7385,1050,4535,415,330,1795,45.6,49.2,2950,2930,25,2950,2890,60,2895,2595,300,280,2965,875,1345,380,125,235
19,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507008,Prescott,4078,1993,826,4.94,4080,590,2370,200,180,1115,46.6,49.6,1890,1880,0,1890,1835,55,1890,1480,415,395,1285,525,515,50,75,120
20,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507014,Elizabethtown-Kitley,9545,4029,17.2,555.96,9545,1290,5875,525,435,2385,46.5,51.2,3790,3770,25,3790,3730,55,3645,3230,420,355,3755,1220,1510,540,240,240
21,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507015,Brockville,22116,11088,1057.8,20.91,22115,2660,12840,1060,1165,6620,48.3,51.6,10645,10585,55,10645,10260,385,10615,8265,2355,2215,7105,4560,1385,480,255,425
22,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507017,Front of Yonge,2595,1208,20.7,125.25,2595,335,1635,115,125,630,46.9,51.6,1075,1065,10,1075,1045,25,1030,875,155,130,1000,105,530,215,40,105
23,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507021,Leeds and the Thousand Islands,9804,5040,16.1,608.09,9805,1340,5840,435,405,2625,47.4,52,3995,3965,30,3995,3920,80,3885,3375,510,460,3525,820,970,1055,440,235
24,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507024,Gananoque,5383,2767,768.4,7.01,5385,645,3140,245,220,1595,49,53.2,2565,2555,10,2565,2505,60,2550,1970,580,550,1815,740,450,520,75,30
25,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507033,Westport,634,359,289,2.19,635,50,335,20,30,250,54.2,59.6,335,335,0,335,335,0,335,250,85,70,175,60,60,30,20,0
26,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507040,Rideau Lakes,10883,6781,15.3,711.81,10885,1320,6185,475,435,3375,49.2,55.6,4695,4660,35,4695,4615,85,4575,4000,580,530,3660,1035,1010,675,515,420
27,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507042,Athens,3042,1325,23.5,129.54,3040,435,1875,160,140,735,46.3,50.8,1215,1215,0,1215,1200,15,1190,1080,115,105,1095,225,375,285,115,95
28,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507052,Merrickville-Wolford,3135,1392,14.6,214.33,3135,385,1805,160,130,945,49.2,54.4,1290,1275,15,1290,1270,20,1220,1015,210,180,1060,230,300,200,150,175
29,3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507065,North Grenville,17964,7244,51,351.9,17965,2935,11200,1025,755,3830,43.8,46.4,7040,6985,55,7040,6910,130,6950,6005,945,880,6005,1690,1075,1755,1070,425
30,3510, Ottawa,3509,"Lanark, County (CTY)",3509001,Montague,3914,1551,14.1,278.47,3910,635,2520,210,170,765,42.7,44.4,1500,1485,20,1500,1475,35,1460,1280,175,160,1495,370,420,275,245,190
31,3510, Ottawa,3509,"Lanark, County (CTY)",3509004,Smiths Falls,9254,4523,958.1,9.66,9250,1445,5380,405,435,2430,45.4,47.2,4310,4270,40,4310,4085,230,4285,3185,1105,1040,3165,1565,580,355,310,355
32,3510, Ottawa,3509,"Lanark, County (CTY)",3509010,Drummond/North Elmsley,8183,3708,22.4,365.67,8180,1175,4970,425,355,2040,45.9,50.8,3290,3275,10,3290,3240,50,3180,2820,360,310,3070,1020,1010,520,225,290
33,3510, Ottawa,3509,"Lanark, County (CTY)",3509015,Tay Valley,5925,3750,11.2,528.67,5925,680,3345,255,205,1900,50.7,57.2,2420,2400,20,2420,2375,45,2320,2015,305,275,1845,555,670,265,105,250
34,3510, Ottawa,3509,"Lanark, County (CTY)",3509021,Perth,6469,3395,529.8,12.21,6470,690,3255,235,245,2520,52.7,58.4,3270,3260,10,3270,3185,85,3270,2525,750,710,1800,920,350,190,155,180
35,3510, Ottawa,3509,"Lanark, County (CTY)",3509024,Beckwith,9021,3523,37.7,239.31,9020,1555,5995,530,395,1470,41.8,44.4,3370,3350,15,3370,3320,50,3320,2935,385,345,3250,725,965,1005,395,155
36,3510, Ottawa,3509,"Lanark, County (CTY)",3509028,Carleton Place,12517,5341,1259.4,9.94,12515,2240,7700,620,530,2575,42.1,41.6,5210,5185,30,5210,5100,105,5190,4060,1130,1060,4270,1525,1040,1140,405,160
37,3510, Ottawa,3509,"Lanark, County (CTY)",3509030,Mississippi Mills,14740,6241,28.8,511.25,14740,2180,8645,725,585,3915,46.3,50,6045,6005,35,6045,5955,95,5870,5035,830,790,4605,1300,1245,1165,595,305
38,3510, Ottawa,3509,"Lanark, County (CTY)",3509039,Lanark Highlands,5737,3409,5.6,1031.52,5740,795,3485,210,200,1455,46.9,52,2490,2480,15,2490,2450,45,2425,2060,370,345,1740,200,495,475,280,295
39,3515, Kingston-Pembroke,3510,"Frontenac, County (CTY)",3510005,Frontenac Islands,1930,1212,10.9,176.82,1930,170,1055,90,70,705,53.4,59.6,900,900,0,900,900,0,875,770,105,105,540,145,90,115,60,125
40,3515, Kingston-Pembroke,3510,"Frontenac, County (CTY)",3510010,Kingston,132485,63095,293.4,451.58,132485,18730,85855,7180,10045,27900,42.7,41.2,57835,57290,550,57835,55675,2155,57435,43060,14380,12860,43130,18470,18150,4220,1085,1205
41,3515, Kingston-Pembroke,3510,"Frontenac, County (CTY)",3510020,South Frontenac,20188,9503,21.3,948.05,20190,3115,12730,1090,865,4340,44.6,48.8,7935,7905,25,7935,7730,205,7765,6875,890,810,7540,1035,2990,2665,545,310
42,3515, Kingston-Pembroke,3510,"Frontenac, County (CTY)",3510035,Central Frontenac,4892,3618,4.9,991.41,4890,580,2830,215,200,1480,49.4,55.6,2175,2160,20,2175,2135,45,2145,1820,320,305,1345,310,210,260,275,295
43,3515, Kingston-Pembroke,3510,"Frontenac, County (CTY)",3510045,North Frontenac,2285,2798,2,1157.97,2285,175,1210,75,45,900,55.7,61.6,1135,1130,0,1135,1105,20,1125,995,130,125,560,200,130,65,35,130
