County Name,Census division name,Family Medicine,Specialist,Grand Total
Algoma,"Algoma, Unorganized, North Part",1,,1
Algoma,Blind River,8,1,9
Algoma,Elliot Lake,16,2,18
Algoma,Garden River 14,1,,1
Algoma,Hornepayne,3,,3
Algoma,Johnson,2,,2
Algoma,Rankin Location 15D,2,,2
Algoma,Sault Ste. Marie,98,92,190
Algoma,Spanish,1,,1
Algoma,St. Joseph,4,,4
Algoma,Wawa,4,,4
Brant,Brant,11,1,12
Brant,Brantford,130,116,246
Brant,Six Nations (Part) 40,8,1,9
Bruce,Arran-Elderslie,5,,5
Bruce,Brockton,9,1,10
Bruce,Huron-Kinloss,5,1,6
Bruce,Kincardine,15,,15
Bruce,Northern Bruce Peninsula,8,,8
Bruce,Saugeen Shores,18,,18
Bruce,South Bruce,3,,3
Bruce,South Bruce Peninsula,10,,10
Chatham-Kent,Chatham-Kent,86,68,154
Cochrane,Black River-Matheson,1,,1
Cochrane,Cochrane,5,1,6
Cochrane,Factory Island 1,19,1,20
Cochrane,Hearst,6,,6
Cochrane,Iroquois Falls,5,,5
Cochrane,Kapuskasing,9,6,15
Cochrane,Smooth Rock Falls,2,,2
Cochrane,Timmins,59,34,93
Dufferin,Grand Valley,5,32,5
Dufferin,Orangeville,63,,95
Dufferin,Shelburne,10,,10
Durham,Ajax,85,100,185
Durham,Brock,5,,5
Durham,Clarington,97,15,112
Durham,Oshawa,155,246,401
Durham,Pickering,56,25,81
Durham,Scugog,36,5,41
Durham,Uxbridge,27,1,28
Durham,Whitby,81,68,149
Elgin,Aylmer,9,,9
Elgin,Central Elgin,4,3,7
Elgin,Dutton/Dunwich,2,,2
Elgin,Southwold,3,1,4
Elgin,St. Thomas,58,63,121
Elgin,West Elgin,4,,4
Essex,Amherstburg,14,1,15
Essex,Essex,16,,16
Essex,Kingsville,8,,8
Essex,Lakeshore,13,2,15
Essex,LaSalle,19,1,20
Essex,Leamington,26,14,40
Essex,Tecumseh,25,11,36
Essex,Windsor,252,332,584
Frontenac,Central Frontenac,2,,2
Frontenac,Kingston,227,542,769
Frontenac,South Frontenac,5,1,6
Greater Sudbury,Greater Sudbury / Grand Sudbury,192,242,434
Grey,Georgian Bluffs,1,,1
Grey,Grey Highlands,9,,9
Grey,Hanover,16,3,19
Grey,Meaford,8,,8
Grey,Owen Sound,53,94,147
Grey,The Blue Mountains,9,,9
Grey,West Grey,7,,7
Haldimand-Norfolk,Haldimand County,28,7,35
Haldimand-Norfolk,Norfolk County,48,20,68
Haliburton,Dysart et al,13,,13
Haliburton,Minden Hills,4,,4
Halton,Burlington,204,206,410
Halton,Halton Hills,70,10,80
Halton,Milton,108,55,163
Halton,Oakville,298,316,614
Hamilton,Hamilton,559,1279,1838
Hastings,Bancroft,14,,14
Hastings,Belleville,75,119,194
Hastings,Madoc,4,,4
Hastings,Marmora and Lake,2,,2
Hastings,Quinte West,45,3,48
Hastings,Stirling-Rawdon,3,,3
Hastings,Tweed,3,,3
Hastings,Tyendinaga,1,,1
Huron,Bluewater,6,,6
Huron,Central Huron,10,,10
Huron,Goderich,23,9,32
Huron,Howick,1,,1
Huron,Huron East,12,1,13
Huron,North Huron,7,2,9
Huron,South Huron,15,1,16
Kawartha Lakes,Kawartha Lakes,61,25,86
Kenora,Dryden,14,3,17
Kenora,Ignace,3,,3
Kenora,Kenora,38,18,56
Kenora,"Kenora, Unorganized",1,,1
