Census division name,Census subdivision name,Family Medicine,Specialist
Algoma,"Algoma, Unorganized, North Part",1,
Algoma,Blind River,8,1
Algoma,Elliot Lake,16,2
Algoma,Garden River 14,1,
Algoma,Hornepayne,3,
Algoma,Johnson,2,
Algoma,Rankin Location 15D,2,
Algoma,Sault Ste. Marie,98,92
Algoma,Spanish,1,
Algoma,St. Joseph,4,
Algoma,Wawa,4,
Brant,Brant,11,1
Brant,Brantford,130,116
Brant,Six Nations (Part) 40,8,1
Bruce,Arran-Elderslie,5,
Bruce,Brockton,9,1
Bruce,Huron-Kinloss,5,1
Bruce,Kincardine,15,
Bruce,Northern Bruce Peninsula,8,
Bruce,Saugeen Shores,18,
Bruce,South Bruce,3,
Bruce,South Bruce Peninsula,10,
Chatham-Kent,Chatham-Kent,86,68
Cochrane,Black River-Matheson,1,
Cochrane,Cochrane,5,1
Cochrane,Factory Island 1,19,1
Cochrane,Hearst,6,
Cochrane,Iroquois Falls,5,
Cochrane,Kapuskasing,9,6
Cochrane,Smooth Rock Falls,2,
Cochrane,Timmins,59,34
Dufferin,Grand Valley,5,32
Dufferin,Orangeville,63,
Dufferin,Shelburne,10,
Durham,Ajax,85,100
Durham,Brock,5,
Durham,Clarington,97,15
Durham,Oshawa,155,246
Durham,Pickering,56,25
Durham,Scugog,36,5
Durham,Uxbridge,27,1
Durham,Whitby,81,68
Elgin,Aylmer,9,
Elgin,Central Elgin,4,3
Elgin,Dutton/Dunwich,2,
Elgin,Southwold,3,1
Elgin,St. Thomas,58,63
Elgin,West Elgin,4,
Essex,Amherstburg,14,1
Essex,Essex,16,
Essex,Kingsville,8,
Essex,Lakeshore,13,2
Essex,LaSalle,19,1
Essex,Leamington,26,14
Essex,Tecumseh,25,11
Essex,Windsor,252,332
Frontenac,Central Frontenac,2,
Frontenac,Kingston,227,542
Frontenac,South Frontenac,5,1
Greater Sudbury,Greater Sudbury / Grand Sudbury,192,242
Grey,Georgian Bluffs,1,
Grey,Grey Highlands,9,
Grey,Hanover,16,3
Grey,Meaford,8,
Grey,Owen Sound,53,94
Grey,The Blue Mountains,9,
Grey,West Grey,7,
Haldimand-Norfolk,Haldimand County,28,7
Haldimand-Norfolk,Norfolk County,48,20
Haliburton,Dysart et al,13,
Haliburton,Minden Hills,4,
Halton,Burlington,204,206
Halton,Halton Hills,70,10
Halton,Milton,108,55
Halton,Oakville,298,316
