Cities,# of Planned Infrastructure Projects
Toronto,224
Ottawa,54
Mississauga,51
Ontario,49
Hamilton,36
London,31
Brampton,30
Windsor,26
Oakville,22
Thunder Bay,20
Durham,19
Greater Sudbury,18
Kingston,17
Sarnia,17
Niagara Falls,17
North Bay,17
Kitchener,15
Sault Ste. Marie,14
Waterloo,14
Barrie,13
Waterloo Region,13
Milton,13
St. Catharines,12
Burlington,12
Brantford,12
Niagara,12
Peel,11
Norfolk County,11
Chatham-Kent,11
Guelph,11
Peterborough,10
Cornwall,10
Simcoe County,10
Belleville,10
Owen Sound,9
Cambridge,9
Markham,9
Timmins,9
Vaughan,8
York,8
Bruce County,8
Pickering,8
Oshawa,8
Orillia,7
Huron County,7
Oxford County,7
St. Thomas,7
Bancroft,7
New Tecumseth,7
Caledon,7
Wainfleet,6
Tillsonburg,6
Ajax,6
Middlesex County,6
Kenora,6
Essex County,6
Woolwich,6
Renfrew County,6
Fort Frances,6
Anishinaabeg of Naongashiing First Nation,5
Russell,5
Temiskaming Shores,5
Whitchurch-Stouffville,5
Hanover,5
Innisfil,5
Dryden,5
Lincoln,5
Woodstock,5
Collingwood,5
Brockville,5
Thunder Bay District,5
Wilmot,5
Grey County,5
Leamington,5
West Elgin,5
Prince Edward County,5
Muskoka,5
Bradford-West Gwillimbury,5
Kincardine,5
Welland,5
Grimsby,5
Garden River First Nation,5
Quinte West,5
South Bruce,4
Halton Hills,4
Perth County,4
Elgin County,4
Oliver Paipoonge,4
Amherstburg,4
Lambton Shores,4
Brant County,4
Stratford,4
Kawartha Lakes,4
Lambton County,4
Brock,4
Atikokan,4
North Dumfries,4
The Nation,4
Six Nations of the Grand River Territory,4
Springwater,4
Centre Wellington,4
Moosonee,4
Haliburton County,3
Smiths Falls,3
LaSalle,3
Hastings County,3
Sandy Lake First Nation,3
Hiawatha First Nation,3
Tecumseh,3
Saugeen Shores,3
Huron East,3
Niagara-on-the-Lake,3
Machin,3
South Frontenac,3
Minden Hills,3
Kenora District,3
Severn,3
Kiashke Zaaging Anishinaabek First Nation,3
St. Clair,3
South Stormont,3
Powassan,3
Wellesley,3
Dufferin County,3
Walpole Island First Nation,3
Cobourg,3
Clarington,3
Wawa,3
Parry Sound,3
Gravenhurst,3
Central Elgin,3
Cavan-Monaghan,3
West Grey,3
Pelham,3
Pembroke,3
Whitby,3
Beausoleil First Nation,3
Peterborough County,3
Attawapiskat First Nation,3
Assiginack,3
Asphodel-Norwood,3
Ashfield-Colborne-Wawanosh,3
Arnprior,3
Red Lake,3
Richmond Hill,3
Thorold,3
North Glengarry,3
Rideau Lakes,3
North Huron,3
Erin,3
Renfrew,3
Timiskaming District,3
North Grenville,3
Elliot Lake,3
Fort Erie,3
Red Rock,3
Uxbridge,3
Shoal Lake #40 First Nation,2
Plympton-Wyoming,2
Rainy River,2
Prescott and Russell,2
Mattawa,2
North Frontenac,2
Point Edward,2
Port Colborne,2
Port Hope,2
Puslinch,2
Perth East,2
Minto,2
Mishkeegogamang First Nation,2
Ojibways of the Pic River First Nation,2
Penetanguishene,2
Rainy River District,2
Muskoka Lakes,2
Oro-Medonte,2
Schreiber,2
Naotkamegwanning First Nation,2
Scugog,2
Naicatchewenin First Nation,2
Ojibways of Onigaming First Nation,2
Obashkaandagaang First Nation,2
Nigigoonsiminikaaning First Nation,2
Parry Sound District,2
Shelburne,2
Ramara,2
Seguin,2
Sioux Lookout,2
Pelee,2
Mohawks of the Bay of Quinte First Nation,2
Northern Bruce Peninsula,2
Nipissing District,2
Orangeville,2
North Dundas,2
Adjala-Tosorontio,2
Terrace Bay,2
Hornepayne,2
Thames Centre,2
Halton,2
Haldimand County,2
The Blue Mountains,2
Grey Highlands,2
Brockton,2
Georgina,2
Frontenac Islands,2
Tiny,2
French River,2
Trent Hills,2
Espanola,2
Enniskillen,2
Englehart,2
East Hawkesbury,2
East Gwillimbury,2
Tweed,2
Eagle Lake First Nation,2
Val Rita-Harty,2
Dutton-Dunwich,2
West Lincoln,2
Deseronto,2
Deep River,2
Wabigoon First Nation,2
Constance Lake First Nation,2
Wasaga Beach,2
Wasauksing First Nation,2
Clarence-Rockland,2
Carling,2
Hawkesbury,2
Wellington County,2
Tay,2
Leeds and Grenville United Counties,2
Larder Lake,2
Aurora,2
Southgate,2
Southwest Middlesex,2
Aylmer,2
Lennox and Addington County,2
Whitesand First Nation,2
Arran-Elderslie,2
Algoma District,2
South Glengarry,2
Kirkland Lake,2
Blind River,2
Bracebridge,2
King,2
Kapuskasing,2
Brighton,2
Alderville First Nation,2
"Stormont, Dundas and Glengarry",2
James,2
Iskatewizaagegan #39 First Nation,2
Ignace,2
Prescott,2
Sudbury,2
Huntsville,2
Atikameksheng Anishnawbek First Nation,2
Zhiibaahaasing  First Nation,1
Whitefish River First Nation,1
Wikwemikong First Nation,1
West Nipissing,1
Wellington North,1
White River,1
West Perth,1
Westport,1
Sioux Narrows-Nestor Falls,1
Sagamok Anishnawbek First Nation,1
Weenusk First Nation,1
Serpent River First Nation,1
South Dundas,1
Shuniah,1
Sheshegwaning First Nation,1
South Huron,1
South River,1
South-West Oxford,1
Southwold,1
St. Charles,1
Selwyn,1
Wabeseemoong First Nation,1
Seine River First Nations,1
St. Joseph,1
St. Marys,1
Stone Mills,1
The North Shore,1
Thessalon First Nation,1
Smooth Rock Falls,1
Trent Lakes,1
Strong,1
Midland,1
Pikangikum First Nation,1
Coleman,1
Curve Lake First Nation,1
Dawn-Euphemia,1
Dokis First Nation,1
Drummond-North Elmsley,1
Dysart et al,1
Ear Falls,1
East Ferris,1
Emo,1
Fauquier-Strickland,1
Fort Severn First Nation,1
Frontenac County,1
Gananoque,1
Georgian Bay,1
Georgian Bluffs,1
Ginoogaming First Nation,1
Goderich,1
Gore Bay,1
Grand Valley,1
Grassy Narrows First Nations,1
Greater Napanee,1
Guelph-Eramosa,1
Havelock-Belmont-Methuen,1
"Head, Clara and Maria",1
Hearst,1
Highlands East,1
Couchiching First Nation,1
Cochrane District,1
Huron Shores,1
Cochrane,1
Alfred and Plantagenet,1
Anishinabe of Wauzhushk Onigum First Nation,1
Armstrong,1
Aroland First Nation,1
Augusta,1
Aundeck-Omni Kaning First Nation,1
Bayham,1
Bearskin Lake First Nation,1
Billings,1
Blandford-Blenheim,1
Bluewater,1
Bonfield,1
Brooke-Alvinston,1
Brunswick House First Nation,1
Callander,1
Carleton Place,1
Casselman,1
Central Frontenac,1
Central Huron,1
Central Manitoulin,1
Champlain,1
Chapple,1
Chippewas of Kettle and Stony Point First Nation,1
Chippewas of Nawash First Nation,1
Clearview,1
Hudson,1
Huron-Kinloss,1
Pickle Lake,1
McGarry,1
Mississaugas of the New Credit First Nation,1
Mississippi Mills,1
Mono,1
Moonbeam,1
Moose Cree First Nation,1
Morris-Turnberry,1
Nairn and Hyman,1
Neskantaga First Nation,1
Nibinamik First Nation,1
Niisaachewan Anishinaabe Nation,1
Nipigon,1
Nipissing First Nation,1
North Kawartha,1
North Perth,1
Northeastern Manitoulin and The Islands,1
Northumberland County,1
Northwest Angle #33 First Nation,1
Norwich,1
Ojibway Nation of Saugeen First Nation,1
Opasatika,1
Pays Plat First Nation,1
Perry,1
Perth,1
Perth South,1
Petawawa,1
McNab-Braeside,1
Mattice-Val Côté,1
Iroquois Falls,1
Matachewan First Nation,1
Johnson,1
Joly,1
Killarney,1
Kingfisher Lake First Nation,1
Kingsville,1
Kitchenuhmaykosib Inninuwug First Nation,1
Lac Seul First Nation,1
Lac la Croix First Nation,1
Laird,1
Lake of Bays,1
Lake of the Woods,1
Lakeshore,1
Lanark County,1
Latchford,1
Laurentian Hills,1
