City,1st_dose_percentage_staff_vaccination_rate,2nd_dose_percentage_staff_vaccination_rate
Ailsa Craig,0.98,0.98
Ajax,1.0,1.0
Akwesasne,0.98,0.98
Alexandria,1.0,1.0
Alliston,1.0,1.0
Almonte,1.0,1.0
Amherstburg,1.0,1.0
Amherstview,1.0,1.0
Ancaster,1.0,1.0
Arnprior,1.0,1.0
Arthur,1.0,1.0
Athens,1.0,1.0
Atikokan,1.0,1.0
Aurora,1.0,1.0
Aylmer,1.0,1.0
Bancroft,1.0,1.0
Barrie,0.9988888888888889,0.9988888888888889
Barry's Bay,0.96,0.93
Beamsville,1.0,1.0
Beaverton,1.0,1.0
Beeton,1.0,1.0
Belleville,1.0,1.0
Blenheim,1.0,1.0
Blind River,1.0,1.0
Bobcaygeon,1.0,1.0
Bolton,1.0,1.0
Bourget,1.0,1.0
Bowmanville,1.0,0.99
Bracebridge,1.0,1.0
Bradford,1.0,1.0
Brampton,1.0,0.9981818181818182
Brantford,0.992,0.99
Brighton,1.0,1.0
Brockville,1.0,1.0
Brussels,1.0,1.0
Burlington,1.0,1.0
Cambridge,0.9977777777777779,0.9955555555555556
Campbellford,1.0,1.0
Cannifton,1.0,1.0
Cannington,0.98,0.98
Carleton Place,0.99,0.99
Chapleau,1.0,0.99
Chatham,0.9966666666666667,0.9966666666666667
Chatsworth,1.0,1.0
Chelmsford,1.0,1.0
Chesley,0.9866666666666667,0.9866666666666667
Clarence Creek,1.0,1.0
Clinton,1.0,1.0
Cobden,1.0,1.0
Cobourg,1.0,1.0
Cochrane,1.0,1.0
Collingwood,0.9966666666666667,0.9966666666666667
Corbeil,1.0,1.0
Cornwall,0.9960000000000001,0.9960000000000001
Courtland,1.0,1.0
Creemore,1.0,1.0
Deep River,1.0,1.0
Delaware,1.0,1.0
Delhi,1.0,1.0
Deseronto,1.0,1.0
Dryden,1.0,1.0
Dundas,1.0,1.0
Dunnville,0.995,0.995
Durham,0.99,0.99
Dutton,1.0,1.0
Elliot Lake,1.0,1.0
Elmira,1.0,1.0
Elmvale,1.0,1.0
Embrun,1.0,1.0
Emo,1.0,0.98
Englehart,1.0,1.0
Espanola,1.0,1.0
Essex,1.0,1.0
Etobicoke,0.9966666666666667,0.9958333333333332
Exeter,1.0,1.0
Fenelon Falls,0.99,0.99
Fergus,1.0,0.94
Fordwich,1.0,1.0
Forest,1.0,1.0
Fort Erie,1.0,1.0
Fort Frances,1.0,1.0
Gananoque,1.0,1.0
Georgetown,1.0,1.0
Geraldton,1.0,1.0
Glenburnie,0.99,0.99
Gloucester,1.0,1.0
Goderich,1.0,1.0
Gore Bay,1.0,1.0
Gravenhurst,1.0,1.0
Grimsby,1.0,1.0
Guelph,1.0,1.0
