Date_Collected,LTC_Home,LTC_Home_Number,City,PHU,1st_dose_percentage_staff_vaccination_rate,2nd_dose_percentage_staff_vaccination_rate
10/31/2021,Craigholme,2622,Ailsa Craig,MIDDLESEX-LONDON,0.97,0.91
11/30/2021,Craigholme,2622,Ailsa Craig,MIDDLESEX-LONDON,0.98,0.98
12/31/2021,Craigholme,2622,Ailsa Craig,MIDDLESEX-LONDON,0.98,0.98
8/31/2021,Craigholme,2622,Ailsa Craig,MIDDLESEX-LONDON,0.84,0.72
9/30/2021,Craigholme,2622,Ailsa Craig,MIDDLESEX-LONDON,0.83,0.78
8/31/2021,Chartwell Ballycliffe Long Term Care Residence,2658,Ajax,DURHAM,0.92,0.85
8/31/2021,Winbourne Park,2871,Ajax,DURHAM,0.9,0.9
9/30/2021,Chartwell Ballycliffe Long Term Care Residence,2658,Ajax,DURHAM,1,0.94
9/30/2021,Winbourne Park,2871,Ajax,DURHAM,0.96,0.91
10/31/2021,Chartwell Ballycliffe Long Term Care Residence,2658,Ajax,DURHAM,0.9,0.87
10/31/2021,Winbourne Park,2871,Ajax,DURHAM,0.97,0.95
11/30/2021,Chartwell Ballycliffe Long Term Care Residence,2658,Ajax,DURHAM,1,1
11/30/2021,Winbourne Park,2871,Ajax,DURHAM,1,1
12/31/2021,Chartwell Ballycliffe Long Term Care Residence,2658,Ajax,DURHAM,1,1
12/31/2021,Winbourne Park,2871,Ajax,DURHAM,1,1
8/31/2021,Tsiionkwanonhsote,2800,Akwesasne,EASTERN ONTARIO,0.76,0.75
9/30/2021,Tsiionkwanonhsote,2800,Akwesasne,EASTERN ONTARIO,0.79,0.75
10/31/2021,Tsiionkwanonhsote,2800,Akwesasne,EASTERN ONTARIO,0.96,0.87
11/30/2021,Tsiionkwanonhsote,2800,Akwesasne,EASTERN ONTARIO,0.97,0.95
12/31/2021,Tsiionkwanonhsote,2800,Akwesasne,EASTERN ONTARIO,0.98,0.98
8/31/2021,The Palace,2642,Alexandria,EASTERN ONTARIO,0.91,0.88
9/30/2021,The Palace,2642,Alexandria,EASTERN ONTARIO,0.95,0.9
10/31/2021,The Palace,2642,Alexandria,EASTERN ONTARIO,0.97,0.97
11/30/2021,The Palace,2642,Alexandria,EASTERN ONTARIO,1,1
12/31/2021,The Palace,2642,Alexandria,EASTERN ONTARIO,1,1
8/31/2021,Good Samaritan Nursing Home,2588,Alliston,SIMCOE-MUSKOKA,0.87,0.68
9/30/2021,Good Samaritan Nursing Home,2588,Alliston,SIMCOE-MUSKOKA,0.9,0.78
10/31/2021,Good Samaritan Nursing Home,2588,Alliston,SIMCOE-MUSKOKA,0.89,0.89
11/30/2021,Good Samaritan Nursing Home,2588,Alliston,SIMCOE-MUSKOKA,1,1
12/31/2021,Good Samaritan Nursing Home,2588,Alliston,SIMCOE-MUSKOKA,1,1
8/31/2021,Almonte Country Haven,2692,Almonte,"LEEDS,GRENVILLE,LANARK",1,0.99
8/31/2021,Fairview Manor,2973,Almonte,"LEEDS,GRENVILLE,LANARK",0.88,0.88
9/30/2021,Almonte Country Haven,2692,Almonte,"LEEDS,GRENVILLE,LANARK",1,1
9/30/2021,Fairview Manor,2973,Almonte,"LEEDS,GRENVILLE,LANARK",0.98,0.95
10/31/2021,Almonte Country Haven,2692,Almonte,"LEEDS,GRENVILLE,LANARK",1,1
10/31/2021,Fairview Manor,2973,Almonte,"LEEDS,GRENVILLE,LANARK",0.99,0.96
11/30/2021,Almonte Country Haven,2692,Almonte,"LEEDS,GRENVILLE,LANARK",1,1
