Rank,Population centre[2],Size group[2],Population (2021)[2],Land area (km2)[2],Population density[2]
1,TORONTO,Large urban,"5,647,656","1,829.05","3,087.8/km2"
2,OTTAWA,Large urban,"1,068,821",549.49,"1,945.1/km2"
3,HAMILTON,Large urban,"729,560",356.03,"2,049.2/km2"
4,KITCHENER,Large urban,"522,888",296.45,"1,763.8/km2"
5,LONDON,Large urban,"423,369",244.97,"1,728.2/km2"
6,OSHAWA,Large urban,"335,949",159.79,"2,102.4/km2"
7,WINDSOR,Large urban,"306,519",184.96,"1,657.2/km2"
8,ST. CATHARINES,Large urban,"242,460",140.59,"1,724.6/km2"
9,BARRIE,Large urban,"154,676",95.33,"1,622.5/km2"
10,GUELPH,Large urban,"144,356",79.57,"1,814.2/km2"
11,KANATA,Large urban,"137,118",62.35,"2,199.2/km2"
12,KINGSTON,Large urban,"127,943",83.43,"1,533.5/km2"
13,MILTON,Large urban,"124,579",45.2,"2,756.2/km2"
14,BRANTFORD,Large urban,"104,413",62.13,"1,680.6/km2"
15,THUNDER BAY,Medium,"95,266",76.03,"1,253.0/km2"
16,SUDBURY,Medium,"92,093",75.79,"1,215.1/km2"
17,PETERBOROUGH,Medium,"84,793",54.58,"1,553.6/km2"
18,BELLEVILLE,Medium,"75,052",89.48,838.8/km2
19,SARNIA,Medium,"73,944",60.53,"1,221.6/km2"
20,WELLAND,Medium,"69,302",57.21,"1,211.4/km2"
21,SAULT STE. MARIE,Medium,"64,923",52.97,"1,225.7/km2"
22,BOWMANVILLE,Medium,"56,742",31.23,"1,816.9/km2"
23,NORTH BAY,Medium,"51,433",64.91,792.4/km2
24,CORNWALL,Medium,"47,286",32.4,"1,459.4/km2"
25,WOODSTOCK,Medium,"46,296",34.41,"1,345.4/km2"
26,ST. THOMAS,Medium,"45,732",28.1,"1,627.5/km2"
27,CHATHAM,Medium,"45,171",31.21,"1,447.3/km2"
28,GEORGETOWN,Medium,"44,058",25.7,"1,714.3/km2"
29,BRADFORD,Medium,"38,128",16.1,"2,368.2/km2"
30,STOUFFVILLE,Medium,"36,753",14.17,"2,593.7/km2"
31,LEAMINGTON,Medium,"35,730",31.77,"1,124.6/km2"
32,ORANGEVILLE,Medium,"34,177",19.77,"1,728.7/km2"
33,ORILLIA,Medium,"33,379",22.68,"1,471.7/km2"
34,STRATFORD,Medium,"32,878",23.3,"1,411.1/km2"
35,INNISFIL,Small,"29,464",23.71,"1,242.7/km2"
36,TIMMINS,Small,"28,874",18.49,"1,561.6/km2"
37,KESWICK,Small,"27,145",16.56,"1,639.2/km2"
38,BOLTON,Small,"26,795",20.71,"1,293.8/km2"
39,MIDLAND,Small,"26,246",27.41,957.5/km2
40,ALLISTON,Small,"23,253",18.78,"1,238.2/km2"
41,FERGUS,Small,"23,209",18.31,"1,267.6/km2"
42,COLLINGWOOD,Small,"22,983",16.38,"1,403.1/km2"
43,LINDSAY,Small,"22,367",15.57,"1,436.5/km2"
44,OWEN SOUND,Small,"22,318",20.86,"1,069.9/km2"
45,BROCKVILLE,Small,"22,293",18.7,"1,192.1/km2"
46,WASAGA BEACH,Small,"22,194",28.21,786.7/km2
47,COBOURG,Small,"19,830",15.57,"1,273.6/km2"
48,TILLSONBURG,Small,"18,573",18.97,979.1/km2
49,VALLEY EAST,Small,"17,251",25.82,668.1/km2
