Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Recreation,Infrastructure,Adjala-Tosorontio,Accessibility Upgrades to Three Municipal Public Parks,Planning,2022,The project will upgrade accessibility at three parks and includes accessible pathways and a play structure designed for people with disabilities. The changes will improve access for all park users.,,Simcoe,Central,7855 Sideroad 30 Road,L9R1V1,,"$295,275 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.246169,-80.021502,
Recreation,"Tourism, Culture and Sport",Adjala-Tosorontio,Adjala-Tosorontio Tp,Under construction,23-Apr,"Our Municipality, with a $498,200 Community Building Fund – Capital stream grant over 12 months, will address a community need by creating accessible parking, paths and entrance, repairing baseball diamonds, installing accessible playground equipment and retrofitting soccer field for year-round use at Haley Park. ",,Simcoe,Central,2774 County Road 50,L0G 1L0,,"$498,200 ",,Yes,,,,44.046227,-79.891169,
Communities,"Children, Community and Social Services",Ajax,Grandview Children's Centre,Under construction,24-May,New construction of a children's treatment centre in Ajax.,"The new centre will create more treatment spaces, shorter wait times and a modern facility so that families can access the care they need sooner.",Durham,Central,Harwood Ave / Rossland Rd,L1Z 1K4,,"$31,000,000 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/backgrounder/52484/grandview-childrens-centre-redevelopment-project,43.879,-79.03,
Child care,Education,Ajax,St. Teresa of Calcutta Catholic Elementary School,Under construction,2022,Expansion of existing school,Addition to accommodate 73 child care spaces,Durham,Central,15 FISHLOCK ST,L1Z 1H1,,"$2,304,653 ",,Yes,,,,43.8762,-79.0302,
Child care,Education,Ajax,Lakeside Public Elementary School,Under construction,2022,Renovation of existing school,Renovation to accommodate 30 child care spaces,Durham,Central,4 PARKES DR,L1S 4X1,,"$908,212 ",,Yes,,,,43.82344,-79.02777,
Education,Education,Ajax,école élémentaire publique Whitby-Ajax,Planning,24-Sep,Construction of new school,"New facility to accommodate 317 students in a growing community, including the construction of 49 child care spaces",Durham,Central,TURNERBURY AVE / AINLEY ST,,,"$9,873,961 ",,Yes,,,,43.87800084,-79.00473134,
Recreation,Infrastructure,Ajax,Improved Recreational Infrastructure for Residents in Ajax,Planning,2022,"Work includes replacing court pavement, upgrading lighting, and making the court more accessible to improve public safety.",,Durham,Central,65 Harwood Avenue South/Sud,L1S2H9,,"$174,840 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000374/canada-and-ontario-invest-in-improved-recreational-infrastructure-for-residents-in-ajax,43.837342,-79.02019,
Recreation,Infrastructure,Ajax,Improved Recreational Infrastructure for Residents in Ajax,Planning,23-Nov,"Improvements include the replacement of the clubhouse roof, and updating change rooms, washrooms, and the kitchen. The facility will also undergo extensive upgrades that will improve accessibility, modify spectator seating, entranceways and walkways, enhance signage and lighting, and renovate practice facilities. This project will greatly improve the quality of cricket facilities while ensuring that all community members can enjoy watching, learning, and playing cricket for years to come.",,Durham,Central,65 Harwood Avenue South/Sud,L1S2H9,,"$3,181,836 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000374/canada-and-ontario-invest-in-improved-recreational-infrastructure-for-residents-in-ajax,43.835545,-79.02095,
Communities,Infrastructure,Alderville First Nation,Decommissioning of 13 wells ,Under construction,23-May,Decommissioning 11 bored/dugwells and 2 drilled wells. ,Improved safe operations and reduced isk of environmental contamination.,Peterborough,East,11696 Line Road 2, KOK 2X,,"$19,923 ",,Yes,Yes,Yes,,44.182879,-78.06352,
Communities,Infrastructure,Alderville First Nation,Alderville First Nation,Planning,23-Sep,Communal and POE Water Treatment Systems,,Peterborough,East,11696 2ND LINE RD,K0K2X0,,"$2,743,818 ",Yes,Yes,Yes,,,44.1729,-78.0852,
Child care,Education,Alfred and Plantagenet,École élémentaire catholique Saint-Joseph,Under construction,2022,Expansion of existing school,Addition to accommodate 10 child care spaces,Prescott and Russell,East,3250 RUE PRINCIPALE,K0A 3K0,,"$660,861 ",,Yes,,Yes,,45.57206,-75.13025,
Broadband,Infrastructure,Algoma District,Northeast Superior Regional Broadband Network (NSRBN) ICON Project,Planning,24-Dec,New broadband construction by Community Network Partners and Trispec,Providing reliable internet access,Algoma,Northeast,,,,"$7,035,273 ",,Yes,,Yes,,48.2198935,-84.6827778,
Roads and bridges,Transportation,Algoma District,"Hwy 17 Bruce Mines easterly, Hwy 638 Thessalon River Bridge, north of Hwy 670, Ophir",Under construction,2022,"Bridge rehabilitation, Culvert replacement, Resurfacing",,Algoma,Northeast,,,,0,,Yes,,,,46.2670449,-83.5735639,
Child care,Education,Amherstburg,Stella Maris Catholic Elementary School,Under construction,2022,Expansion of existing school,Addition to accommodate 73 child care spaces,Essex,Southwest,140 GIRARD ST,N9V 2X3,,"$2,117,517 ",,Yes,,,,42.11563,-83.10671,
Education,Education,Amherstburg,Amherstburg Public Secondary School,Under construction,2022,Construction of new school,New facility to accommodate 819 students as a result of a consolidation,Essex,Southwest,315 SIMCOE ST,N9V 1N1,,"$25,985,519 ",,Yes,,,,42.1066158,-83.1109837,
