Board Number,Board Name,Board Type,School Number,School Name,School Type,School Level,School Language,Grade Range,City
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),902344,Algoma Education Connection Secondary School,Public,Secondary,English,9-12,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),019186,Anna McCrea Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),043362,Ben R McMullin Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),054542,Blind River Public School,Public,Elementary,English,JK-8,Blind River
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),490822,Boreal French Immersion Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),137967,Central Algoma Intermediate School,Public,Elementary,English,7-8,Desbarats
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),285552,Central Algoma Public School,Public,Elementary,English,JK-6,Desbarats
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),891347,Central Algoma Secondary School,Public,Secondary,English,9-12,Desbarats
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),093548,Central Avenue Public School,Public,Elementary,English,JK-8,Elliot Lake
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),900869,Chapleau High School,Public,Secondary,English,9-12,Chapleau
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),101214,Chapleau Public School,Public,Elementary,English,JK-8,Chapleau
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),161276,East View Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),165042,Echo Bay Central Public School,Public,Elementary,English,JK-6,Echo Bay
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),293055,Elliot Lake Intermediate School,Public,Elementary,English,7-8,Elliot Lake
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),908010,Elliot Lake Secondary School,Public,Secondary,English,9-12,Elliot Lake
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),186783,Esten Park Public School,Public,Elementary,English,JK-8,Elliot Lake
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),202614,Francis H Clergue Public School,Public,Elementary,English,JK-8,Sault Ste Marie
