University,City,Gender,2020-2021 (Undergrad),2020-2021 (Graduate)
Algoma,Sault Ste. Marie,Female,764,0
Algoma,Sault Ste. Marie,Male,648,0
Algoma,Sault Ste. Marie,N/A or Another,0,0
Brock,St. Catharines,Female,8600,961
Brock,St. Catharines,Male,6386,560
Brock,St. Catharines,N/A or Another,277,54
Carleton,Ottawa,Female,10807,1935
Carleton,Ottawa,Male,10164,1836
Carleton,Ottawa,N/A or Another,258,74
Dominican,Ottawa,Female,0,0
Dominican,Ottawa,Male,0,0
Guelph,Guelph,Female,14485,1610
Guelph,Guelph,Male,9111,1113
Guelph,Guelph,N/A or Another,402,111
Hearst,Hearst,Female,94,0
Hearst,Hearst,Male,68,0
Hearst,Hearst,N/A or Another,0,0
Lakehead,Thunder Bay,Female,3284,703
Lakehead,Thunder Bay,Male,2416,603
Lakehead,Thunder Bay,N/A or Another,56,0
Laurentian,Sudbury,Female,3936,405
Laurentian,Sudbury,Male,2357,304
Laurentian,Sudbury,N/A or Another,33,0
McMaster,Hamilton,Female,16706,2288
McMaster,Hamilton,Male,13467,1889
McMaster,Hamilton,N/A or Another,387,38
Nipissing,North Bay,Female,2480,113
Nipissing,North Bay,Male,1109,65
Nipissing,North Bay,N/A or Another,15,0
NOSM,Sudbury,Female,281,0
NOSM,Sudbury,Male,176,0
O.C.A.D,Toronto,Female,2729,165
O.C.A.D,Toronto,Male,1100,53
O.C.A.D,Toronto,N/A or Another,211,12
Ottawa,Ottawa,Female,3839,241
Ottawa,Ottawa,Male,5234,313
Ottawa,Ottawa,N/A or Another,100,0
Queen's,Kingston,Female,19373,3490
Queen's,Kingston,Male,12403,2651
Queen's,Kingston,N/A or Another,838,314
Ryerson,Toronto,Female,12824,2391
Ryerson,Toronto,Male,8686,2328
Ryerson,Toronto,N/A or Another,303,63
Toronto,Toronto,Female,17655,1460
Toronto,Toronto,Male,13300,1225
Toronto,Toronto,N/A or Another,349,16
Trent,Peterborough,Female,37399,10974
Trent,Peterborough,Male,29224,7913
Trent,Peterborough,N/A or Another,1379,168
UOIT,Oshawa,Female,6022,338
UOIT,Oshawa,Male,2920,192
UOIT,Oshawa,N/A or Another,210,16
Waterloo,Waterloo,Female,16024,1970
Waterloo,Waterloo,Male,17833,2498
Waterloo,Waterloo,N/A or Another,367,248
Western,London,Female,18514,3641
Western,London,Male,13495,2546
Western,London,N/A or Another,123,25
Wilfrid Laurier,Waterloo,Female,8777,724
Wilfrid Laurier,Waterloo,Male,7106,451
Windsor,Windsor,Female,5863,1759
Windsor,Windsor,Male,4545,2472
Windsor,Windsor,N/A or Another,364,73
York,Toronto,Female,23652,2572
York,Toronto,Male,18414,1991
York,Toronto,N/A or Another,784,39
