City,Total Deaths Registered
ADDINGTON HIGHLANDS,7
ADJALA-TOSORONTIO,7
AJAX,715
AKWESASNE MOHAWK TERRITORY,6
ALFRED PLANTAGENET,53
ALGOMA UNORGANIZED,6
AMHERSTBURG,103
ARNPRIOR,143
ARRAN-ELDERSLIE,45
ATHENS,15
ATIKOKAN,16
AURORA,143
AYLMER,13
BANCROFT,124
BARRIE,1888
BELLEVILLE,916
BLACK RIVER-MATHESON,6
BLIND RIVER,35
BLUEWATER,21
BRACEBRIDGE,236
BRADFORD WEST GWILLIMBURY,138
BRAMPTON,2818
BRANT,160
BRANTFORD,1328
BRIGHTON,31
BROCK,106
BROCKTON,109
BROCKVILLE,520
BURLINGTON,1576
CALEDON,275
CAMBRIDGE,986
CARLETON PLACE,111
CAVAN-MONAGHAN,39
CENTRAL ELGIN,23
CENTRAL HURON,66
CENTRAL MANITOULIN,39
CENTRE WELLINGTON,321
CHAMPLAIN,7
CHATHAM-KENT,1250
CLARENCE-ROCKLAND,89
CLARINGTON,547
CLEARVIEW,39
COBOURG,514
COCHRANE,31
COLLINGWOOD,538
CORNWALL,849
DRYDEN,147
DYSART ET AL,115
EAST GWILLIMBURY,48
EAST ZORRA-TAVISTOCK,25
ELIZABETHTOWN-KITLEY,13
ELLIOT LAKE,210
ENNISKILLEN,14
ESPANOLA,82
ESSA,14
ESSEX,77
FORT ERIE,326
FORT FRANCES,129
GANANOQUE,36
GEORGINA,162
GODERICH,127
GRAVENHURST,96
GREATER NAPANEE,286
GREATER SUDBURY,2079
GREENSTONE,9
GREY HIGHLANDS,78
GRIMSBY,336
GUELPH,1259
GUELPH-ERAMOSA,16
HALDIMAND COUNTY,378
HALTON HILLS,378
HAMILTON,5854
HAMILTON TWP,99
HANOVER,131
HAWKESBURY,288
HEARST,45
HUNTSVILLE,312
HURON EAST,88
HURON-KINLOSS,6
INGERSOLL,103
INNISFIL,72
IROQUOIS FALLS,34
KAPUSKASING,132
KAWARTHA LAKES,939
KENORA,228
KINCARDINE,132
KING,25
KINGSTON,1846
KINGSVILLE,98
KIRKLAND LAKE,134
KITCHENER,2453
LAKESHORE,91
LAMBTON SHORES,50
LASALLE,33
LEAMINGTON,526
LINCOLN,164
LONDON,4340
LOYALIST,92
MADAWASKA VALLEY,73
MARATHON,7
MARKHAM,1453
MARMORA AND LAKE,6
MATTAWA,30
MEAFORD,99
MERRICKVILLE-WOLFORD,6
MIDDLESEX CENTRE,92
MIDLAND,449
MILTON,474
MINDEN HILLS,26
MINTO,123
MISSISSAUGA,4523
MISSISSIPPI MILLS,155
MUSKOKA LAKES,51
NE MANITOULIN  AND THE ISLANDS,45
NEW TECUMSETH,396
NEWBURY,18
NEWMARKET,1355
NIAGARA FALLS,1113
NIAGARA-ON-THE-LAKE,111
NIPIGON,6
NORFOLK COUNTY,591
NORTH BAY,790
NORTH DUNDAS,180
NORTH GLENGARRY,154
NORTH GRENVILLE,107
NORTH HURON,56
NORTH PERTH,120
NORTHERN BRUCE PENINSULA,6
OAKVILLE,1471
ORANGEVILLE,366
ORILLIA,703
ORO-MEDONTE,42
OSHAWA,2233
OTTAWA,7706
OWEN SOUND,589
PARRY SOUND,237
PELHAM,89
PEMBROKE,360
PENETANGUISHENE,167
PERTH,183
PERTH EAST,38
PETERBOROUGH,1581
PETROLIA,117
PICKERING,268
PORT COLBORNE,210
PORT HOPE,127
POWASSAN,22
PRESCOTT,20
PRINCE EDWARD,319
PUSLINCH,18
QUINTE WEST,355
RAMARA TOWNSHIP,6
RENFREW,270
RICHMOND HILL,1574
RUSSELL,39
SARNIA,1103
SAUGEEN SHORES,121
SAULT STE MARIE,1147
SCUGOG,232
SELWYN,33
SEVERN,157
SHELBURNE,34
SIOUX LOOKOUT,30
SIX NATIONS OF THE GRAND RIVER,7
SMITHS FALLS,177
SOUTH BRUCE PENINSULA,92
SOUTH DUNDAS,6
SOUTH FRONTENAC,26
SOUTH GLENGARRY,28
SOUTH HURON,146
SOUTH STORMONT,50
SOUTHWEST MIDDLESEX,13
SOUTHWOLD,12
SPRINGWATER,28
ST CATHARINES,1934
ST CLAIR,9
ST MARYS,109
ST THOMAS,603
STIRLING-RAWDON,14
STRATFORD,491
STRATHROY-CARADOC,277
TAY VALLEY TWP,51
TECUMSEH,78
TEMISKAMING SHORES,196
THE BLUE MOUNTAINS,14
THOROLD,20
THUNDER BAY,1675
THUNDER BAY UNORGANIZED,6
TILLSONBURG,270
TIMMINS,468
TINY,18
TORONTO,22131
TRENT HILLS,221
TWEED,57
UXBRIDGE,161
VAUGHAN,1060
WASAGA BEACH,76
WATERLOO,419
WELLAND,821
WELLINGTON NORTH,150
WEST GREY,96
WEST NIPISSING,156
WEST PERTH,29
WHITBY,453
WHITCHURCH-STOUFFVILLE,160
WHITEWATER REGION,19
WIKWEMIKONG I R,6
WILMOT,31
WINDSOR,2984
WOODSTOCK,682
WOOLWICH,128
