,City,Total Population,Land area (km2)[2]
0,TORONTO,5647656,"1,829.05"
1,OTTAWA,1068821,549.49
2,HAMILTON,729560,356.03
3,KITCHENER,522888,296.45
4,LONDON,423369,244.97
5,OSHAWA,335949,159.79
6,WINDSOR,306519,184.96
7,ST. CATHARINES,242460,140.59
8,BARRIE,154676,95.33
9,GUELPH,144356,79.57
10,KANATA,137118,62.35
11,KINGSTON,127943,83.43
12,MILTON,124579,45.2
13,BRANTFORD,104413,62.13
14,THUNDER BAY,95266,76.03
15,SUDBURY,92093,75.79
16,PETERBOROUGH,84793,54.58
17,BELLEVILLE,75052,89.48
18,SARNIA,73944,60.53
19,WELLAND,69302,57.21
20,SAULT STE. MARIE,64923,52.97
21,BOWMANVILLE,56742,31.23
22,NORTH BAY,51433,64.91
23,CORNWALL,47286,32.4
24,WOODSTOCK,46296,34.41
25,ST. THOMAS,45732,28.1
26,CHATHAM,45171,31.21
27,GEORGETOWN,44058,25.7
28,BRADFORD,38128,16.1
29,STOUFFVILLE,36753,14.17
30,LEAMINGTON,35730,31.77
31,ORANGEVILLE,34177,19.77
32,ORILLIA,33379,22.68
33,STRATFORD,32878,23.3
34,INNISFIL,29464,23.71
35,TIMMINS,28874,18.49
36,KESWICK,27145,16.56
37,BOLTON,26795,20.71
38,MIDLAND,26246,27.41
39,ALLISTON,23253,18.78
40,FERGUS,23209,18.31
41,COLLINGWOOD,22983,16.38
42,LINDSAY,22367,15.57
43,OWEN SOUND,22318,20.86
44,BROCKVILLE,22293,18.7
45,WASAGA BEACH,22194,28.21
46,COBOURG,19830,15.57
47,TILLSONBURG,18573,18.97
48,VALLEY EAST,17251,25.82
49,PEMBROKE,16571,17.47
50,SIMCOE,16121,16.5
51,STRATHROY,16056,15.3
52,PORT COLBORNE,15441,13.29
53,FORT ERIE,15372,14.62
54,AMHERSTBURG,15177,13.7
55,PARIS,14956,13.55
56,ANGUS,14503,14.19
57,PETAWAWA,14382,16.01
58,NEW HAMBURG,14379,15.75
59,CARLETON PLACE,13940,12.89
60,ROCKLAND,13625,8.15
61,INGERSOLL,13607,10.32
62,BEAMSVILLE,13323,9.89
63,PORT HOPE,13012,12.72
64,CALEDONIA,12179,9.18
65,UXBRIDGE,11794,15.46
66,HAWKESBURY,11755,10.82
67,ARNPRIOR,11305,12.09
68,ELLIOT LAKE,10998,10.27
69,KENORA,10974,15.25
70,BINBROOK,10791,6.41
71,ELMIRA,10790,8.15
72,WALLACEBURG,10323,8.84
73,BRACEBRIDGE,9884,13.38
74,PORT ELGIN,9619,8.03
75,TOTTENHAM,9609,9.93
76,PORT PERRY,9553,8.76
77,LISTOWEL,9539,6.73
78,CRYSTAL BEACH,9531,11.34
79,SMITHS FALLS,9517,6.71
80,ACTON,9377,7.84
81,KINCARDINE,9343,9.59
82,SHELBURNE,8989,5.71
83,EMBRUN,8680,10.18
84,SUTTON,8477,12.55
85,KING,8396,14.2
86,RENFREW,8337,12.14
87,ESSEX,8233,5.56
88,NAPANEE,8173,7.92
89,AYLMER,7975,7.2
90,PORT DOVER,7871,8.12
91,HANOVER,7761,7.14
92,GODERICH,7728,4.51
93,ST. MARYS,7271,10.09
94,FORT FRANCES,7159,7.29
95,KAPUSKASING,7092,8.63
96,STURGEON FALLS,6939,6.15
97,PARRY SOUND,6788,7.95
98,HUNTSVILLE,6639,8.73
99,NOBLETON,6507,8.58
100,PERTH,6486,9.39
101,SMITHVILLE,6456,6.11
102,CORUNNA,6266,3.79
103,CHELMSFORD,6199,5.5
104,TAY,6188,8.64
105,KIRKLAND LAKE,6180,4.17
106,RUSSELL,6135,4.56
107,ALMONTE,6098,4.16
108,CHIPPAWA,6077,3.72
109,DUNNVILLE,5907,5.44
110,MANOTICK STATION,5873,9.09
111,BRIGHTON,5847,7.02
112,PORCUPINE,5832,5.78
113,GRAVENHURST,5789,6.32
114,MOUNT ALBERT,5695,4.67
115,PETROLIA,5632,6.29
