University,City,Gender,2020-2021 (Undergrad),2020-2021 (Graduate)
Algoma,SAULT STE. MARIE,Female,764,0
Algoma,SAULT STE. MARIE,Male,648,0
Algoma,SAULT STE. MARIE,N/A or Another,0,0
Brock,ST. CATHARINES,Female,8600,961
Brock,ST. CATHARINES,Male,6386,560
Brock,ST. CATHARINES,N/A or Another,277,54
Carleton,OTTAWA,Female,10807,1935
Carleton,OTTAWA,Male,10164,1836
Carleton,OTTAWA,N/A or Another,258,74
Dominican,OTTAWA,Female,0,0
Dominican,OTTAWA,Male,0,0
Guelph,GUELPH,Female,14485,1610
Guelph,GUELPH,Male,9111,1113
Guelph,GUELPH,N/A or Another,402,111
Hearst,HEARST,Female,94,0
Hearst,HEARST,Male,68,0
Hearst,HEARST,N/A or Another,0,0
Lakehead,THUNDER BAY,Female,3284,703
Lakehead,THUNDER BAY,Male,2416,603
Lakehead,THUNDER BAY,N/A or Another,56,0
Laurentian,SUDBURY,Female,3936,405
Laurentian,SUDBURY,Male,2357,304
Laurentian,SUDBURY,N/A or Another,33,0
McMaster,HAMILTON,Female,16706,2288
McMaster,HAMILTON,Male,13467,1889
McMaster,HAMILTON,N/A or Another,387,38
Nipissing,NORTH BAY,Female,2480,113
Nipissing,NORTH BAY,Male,1109,65
Nipissing,NORTH BAY,N/A or Another,15,0
NOSM,SUDBURY,Female,281,0
NOSM,SUDBURY,Male,176,0
O.C.A.D,TORONTO,Female,2729,165
O.C.A.D,TORONTO,Male,1100,53
O.C.A.D,TORONTO,N/A or Another,211,12
Ottawa,OTTAWA,Female,3839,241
Ottawa,OTTAWA,Male,5234,313
Ottawa,OTTAWA,N/A or Another,100,0
Queen's,KINGSTON,Female,19373,3490
Queen's,KINGSTON,Male,12403,2651
Queen's,KINGSTON,N/A or Another,838,314
Ryerson,TORONTO,Female,12824,2391
Ryerson,TORONTO,Male,8686,2328
Ryerson,TORONTO,N/A or Another,303,63
Toronto,TORONTO,Female,17655,1460
Toronto,TORONTO,Male,13300,1225
Toronto,TORONTO,N/A or Another,349,16
Trent,PETERBOROUGH,Female,37399,10974
Trent,PETERBOROUGH,Male,29224,7913
Trent,PETERBOROUGH,N/A or Another,1379,168
UOIT,OSHAWA,Female,6022,338
UOIT,OSHAWA,Male,2920,192
UOIT,OSHAWA,N/A or Another,210,16
Waterloo,WATERLOO,Female,16024,1970
Waterloo,WATERLOO,Male,17833,2498
Waterloo,WATERLOO,N/A or Another,367,248
Western,LONDON,Female,18514,3641
Western,LONDON,Male,13495,2546
Western,LONDON,N/A or Another,123,25
Wilfrid Laurier,WATERLOO,Female,8777,724
Wilfrid Laurier,WATERLOO,Male,7106,451
Windsor,WINDSOR,Female,5863,1759
Windsor,WINDSOR,Male,4545,2472
Windsor,WINDSOR,N/A or Another,364,73
York,TORONTO,Female,23652,2572
York,TORONTO,Male,18414,1991
York,TORONTO,N/A or Another,784,39
