Year/Année,Month/Mois,Municipality/Municipalité,Totals / Totaux
2021,JAN,ADDINGTON HIGHLANDS,7
2021,JAN,AJAX,79
2021,JAN,AKWESASNE MOHAWK TERRITORY,6
2021,JAN,ALFRED PLANTAGENET,6
2021,JAN,AMHERSTBURG,10
2021,JAN,ARNPRIOR,17
2021,JAN,AURORA,25
2021,JAN,BANCROFT,15
2021,JAN,BARRIE,237
2021,JAN,BELLEVILLE,75
2021,JAN,BLUEWATER,8
2021,JAN,BRACEBRIDGE,23
2021,JAN,BRADFORD WEST GWILLIMBURY,19
2021,JAN,BRAMPTON,286
2021,JAN,BRANT,15
2021,JAN,BRANTFORD,105
2021,JAN,BROCK,9
2021,JAN,BROCKTON,11
2021,JAN,BROCKVILLE,40
2021,JAN,BURLINGTON,159
2021,JAN,CALEDON,33
2021,JAN,CAMBRIDGE,85
2021,JAN,CARLETON PLACE,12
2021,JAN,CENTRAL HURON,7
2021,JAN,CENTRAL MANITOULIN,6
2021,JAN,CENTRE WELLINGTON,26
2021,JAN,CHATHAM-KENT,120
2021,JAN,CLARINGTON,41
2021,JAN,CLEARVIEW,7
2021,JAN,COBOURG,56
2021,JAN,COLLINGWOOD,52
2021,JAN,CORNWALL,94
2021,JAN,DRYDEN,11
2021,JAN,DYSART ET AL,7
2021,JAN,EAST GWILLIMBURY,7
2021,JAN,EAST ZORRA-TAVISTOCK,12
2021,JAN,ELIZABETHTOWN-KITLEY,6
2021,JAN,ELLIOT LAKE,24
2021,JAN,ESPANOLA,7
2021,JAN,ESSA,8
2021,JAN,ESSEX,9
2021,JAN,FORT ERIE,41
2021,JAN,FORT FRANCES,11
2021,JAN,GANANOQUE,8
2021,JAN,GEORGINA,14
2021,JAN,GODERICH,14
2021,JAN,GREATER NAPANEE,13
2021,JAN,GREATER SUDBURY,162
2021,JAN,GREY HIGHLANDS,10
2021,JAN,GRIMSBY,27
2021,JAN,GUELPH,132
2021,JAN,HALDIMAND COUNTY,33
2021,JAN,HALTON HILLS,54
2021,JAN,HAMILTON,552
2021,JAN,HAMILTON TWP,6
2021,JAN,HANOVER,11
2021,JAN,HAWKESBURY,27
2021,JAN,HUNTSVILLE,23
2021,JAN,HURON EAST,9
2021,JAN,INGERSOLL,9
2021,JAN,INNISFIL,12
2021,JAN,KAPUSKASING,22
2021,JAN,KAWARTHA LAKES,80
2021,JAN,KENORA,14
2021,JAN,KINCARDINE,6
2021,JAN,KINGSTON,145
2021,JAN,KIRKLAND LAKE,9
2021,JAN,KITCHENER,233
2021,JAN,LAKESHORE,11
2021,JAN,LEAMINGTON,68
2021,JAN,LINCOLN,19
2021,JAN,LONDON,419
2021,JAN,LOYALIST,7
2021,JAN,MARKHAM,139
2021,JAN,MEAFORD,9
2021,JAN,MIDDLESEX CENTRE,42
2021,JAN,MIDLAND,44
2021,JAN,MILTON,44
2021,JAN,MINDEN HILLS,6
2021,JAN,MINTO,13
2021,JAN,MISSISSAUGA,473
2021,JAN,MISSISSIPPI MILLS,7
2021,JAN,MUSKOKA LAKES,10
2021,JAN,NE MANITOULIN  AND THE ISLANDS,9
2021,JAN,NEW TECUMSETH,26
2021,JAN,NEWMARKET,126
2021,JAN,NIAGARA FALLS,137
2021,JAN,NIAGARA-ON-THE-LAKE,20
2021,JAN,NORFOLK COUNTY,51
2021,JAN,NORTH BAY,75
2021,JAN,NORTH DUNDAS,21
2021,JAN,NORTH GLENGARRY,17
2021,JAN,NORTH GRENVILLE,12
2021,JAN,NORTH HURON,10
2021,JAN,NORTH PERTH,18
2021,JAN,OAKVILLE,136
2021,JAN,ORANGEVILLE,40
2021,JAN,ORILLIA,70
2021,JAN,ORO-MEDONTE,8
2021,JAN,OSHAWA,227
2021,JAN,OTTAWA,672
2021,JAN,OWEN SOUND,39
2021,JAN,PARRY SOUND,26
2021,JAN,PELHAM,15
2021,JAN,PEMBROKE,33
2021,JAN,PENETANGUISHENE,10
2021,JAN,PERTH,21
2021,JAN,PERTH EAST,6
2021,JAN,PETERBOROUGH,147
2021,JAN,PETROLIA,8
2021,JAN,PICKERING,20
2021,JAN,PORT COLBORNE,16
2021,JAN,PORT HOPE,10
2021,JAN,POWASSAN,8
2021,JAN,PRINCE EDWARD,21
2021,JAN,PUSLINCH,6
2021,JAN,QUINTE WEST,25
2021,JAN,RENFREW,38
2021,JAN,RICHMOND HILL,160
2021,JAN,SARNIA,92
2021,JAN,SAUGEEN SHORES,8
2021,JAN,SAULT STE MARIE,92
2021,JAN,SCUGOG,27
2021,JAN,SIX NATIONS OF THE GRAND RIVER,7
2021,JAN,SMITHS FALLS,17
2021,JAN,SOUTH GLENGARRY,12
2021,JAN,SOUTH HURON,11
2021,JAN,SOUTH STORMONT,6
2021,JAN,SOUTHWEST MIDDLESEX,7
2021,JAN,SPRINGWATER,7
2021,JAN,ST CATHARINES,300
2021,JAN,ST MARYS,13
2021,JAN,ST THOMAS,61
2021,JAN,STRATFORD,51
2021,JAN,STRATHROY-CARADOC,25
2021,JAN,TECUMSEH,13
2021,JAN,TEMISKAMING SHORES,13
2021,JAN,THE BLUE MOUNTAINS,6
2021,JAN,THOROLD,6
2021,JAN,THUNDER BAY,134
2021,JAN,TILLSONBURG,45
2021,JAN,TIMMINS,35
2021,JAN,TORONTO,2384
2021,JAN,TRENT HILLS,24
2021,JAN,UXBRIDGE,10
2021,JAN,VAUGHAN,74
2021,JAN,WASAGA BEACH,11
