Date Reported,Time Reported,Reference Number,Site Municipality,Contaminant Name,Receiving Media,Health Impact,Environmental Impact,Health/Environmental Consequence,Sector Type,Source Type,Source/Sector Type,Incident Event,Incident Reason
12/31/2021,12:08 PM,1-1IRJL8,TORONTO,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/30/2021,3:45 PM,1-1IHD8U,SOUTH FRONTENAC,OIL AND GREASE,Surface Water,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/30/2021,3:55 PM,1-1IGYFC,OSHAWA,FURNACE OIL,Land,1 Minor Health Impact,1 Minor Impact,,PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS,Tank - Indoors,,Unknown / N/A,Unknown / N/A
12/29/2021,3:00 PM,1-1IBYRQ,HAMILTON,CUTTING/THREADING OIL,Land,1 Minor Health Impact,1 Minor Impact,,STEEL FOUNDRIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/24/2021,9:00 AM,1-1I9K62,COBOURG,OIL AND GREASE,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/24/2021,1:45 PM,1-1I9KFL,PETERBOROUGH,GAS OIL,Land,1 Minor Health Impact,1 Minor Impact,,GASOLINE STATIONS WITH CONVENIENCE STORES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/23/2021,10:51 AM,1-1I6IYH,MISSISSAUGA,AMMONIA,Air,1 Minor Health Impact,1 Minor Impact,,REFRIGERATED WAREHOUSING AND STORAGE,Valve/Fitting/Piping,,Leak/Break,Unknown / N/A
12/22/2021,9:57 AM,1-1I3TPZ,LONDON,FOAM,Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Unknown / N/A,Unknown / N/A
12/22/2021,11:40 AM,1-1I5FXS,TORONTO,FUEL OIL,Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Motor Vehicle,,Unknown / N/A,Fire
12/22/2021,6:53 PM,1-1I6U00,KING,CONTAMINATED SOIL,Land; Surface Water,1 Minor Health Impact,2 Minor Impact &/or Mortality,,WASTE COLLECTION,Truck - Transport/Hauling,,Unknown / N/A,Vandalism/deliberate act
12/20/2021,10:46 AM,1-1HW94X,CHAPLEAU,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/20/2021,12:12 PM,1-1HYA3M,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error (Line Strike)
12/20/2021,2:13 PM,1-1HYANX,WATERLOO,"FAT, OIL AND GREASE",Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,FAT AND OIL REFINING AND BLENDING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/17/2021,1:26 PM,1-1HU22B,NIAGARA FALLS,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,STEEL FOUNDRIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/17/2021,2:32 PM,1-1HU2FC,OTTAWA,ETHYLENE GLYCOL,Land,1 Minor Health Impact,1 Minor Impact,,CONSTRUCTION MACHINERY MANUFACTURING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/17/2021,3:08 PM,1-1HU2L2,GUELPH,REFRIGERANT GASES (N.O.S.),Air,1 Minor Health Impact,1 Minor Impact,,REFRIGERATED WAREHOUSING AND STORAGE,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/16/2021,10:32 AM,1-1HO457,MISSISSAUGA,DUST (N.O.S.),Land,1 Minor Health Impact,1 Minor Impact,,CEMENT MANUFACTURING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
12/16/2021,1:11 PM,1-1HNERH,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Leak/Break,Unknown / N/A
