Economic region code,Economic region name,Census division code,Census division name,Census subdivision code,Census subdivision name,Total Population,Total Private Dwellings,Population density (people/square km),Land area (square km),Total - Age groups,0-14 Years,15-64 Years,15-19 Years,20-24 Years,>=65,Average Age of Population,Median Age of Population,Total households by #/room,1 or fewer per room,>1 per room,Total households by housing suitability,Suitable housing,Unsuitable housing,Total owned and rented households >0 income,<30 percent of income spent on shelter,>=30 percent of income spent on shelter,30 - <100 percent of income spent on shelter,Total commuting duration,Commute <15 min,Commute 15-29 min,Commute 30-44 min,Commute 45-59 min,Commute >=60 min
3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501005,"South Glengarry, Township (TP)",13330.0,5848.0,22.0,605.02,13330.0,1995.0,7980.0,725.0,570.0,3355.0,46.0,50.4,5430.0,5390.0,35.0,5430.0,5300.0,135.0,5160.0,4500.0,660.0,605.0,4945.0,1485.0,2030.0,825.0,250.0,360.0
3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501007,"Akwesasne (Part) 59, Indian reserve (IRI)",,,,11.81,,,,,,,,,,,,,,,,,,,,,,,,
3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501011,"South Stormont, Township (TP)",13570.0,5583.0,30.3,447.71,13570.0,2130.0,8335.0,705.0,570.0,3100.0,44.8,48.0,5415.0,5395.0,20.0,5415.0,5330.0,80.0,5295.0,4725.0,570.0,505.0,5510.0,1355.0,2660.0,775.0,275.0,435.0
3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501012,"Cornwall, City (CY)",47845.0,22214.0,777.9,61.5,47845.0,7505.0,28195.0,2325.0,2445.0,12145.0,45.0,46.4,21390.0,21095.0,290.0,21390.0,20425.0,960.0,21315.0,16605.0,4705.0,4455.0,15700.0,9380.0,4145.0,910.0,345.0,925.0
3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501020,"South Dundas, Municipality (MU)",11044.0,4821.0,21.2,521.54,11045.0,1655.0,6390.0,505.0,440.0,2995.0,46.7,50.8,4650.0,4600.0,50.0,4650.0,4510.0,145.0,4490.0,3860.0,625.0,580.0,3895.0,1170.0,970.0,760.0,465.0,530.0
3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501030,"North Dundas, Township (TP)",11304.0,4673.0,22.5,502.41,11305.0,1920.0,7060.0,550.0,465.0,2325.0,43.3,44.8,4540.0,4505.0,30.0,4540.0,4430.0,105.0,4285.0,3730.0,555.0,525.0,4210.0,1125.0,820.0,1005.0,895.0,360.0
3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501042,"North Stormont, Township (TP)",7400.0,2949.0,14.4,515.46,7400.0,1440.0,4810.0,405.0,350.0,1150.0,39.8,39.6,2850.0,2835.0,20.0,2850.0,2805.0,50.0,2685.0,2335.0,350.0,330.0,2810.0,555.0,805.0,725.0,445.0,280.0
3510, Ottawa,3501,"Stormont, Dundas and Glengarry, United counties (UC)",3501050,"North Glengarry, Township (TP)",10144.0,4714.0,15.8,643.4,10140.0,1390.0,6005.0,525.0,475.0,2755.0,47.3,51.6,4425.0,4390.0,30.0,4425.0,4295.0,130.0,4190.0,3505.0,685.0,640.0,3705.0,1625.0,825.0,540.0,340.0,370.0
3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502001,"East Hawkesbury, Township (TP)",3418.0,1507.0,14.5,235.06,3415.0,515.0,2095.0,130.0,135.0,810.0,46.1,50.8,1425.0,1410.0,15.0,1425.0,1395.0,30.0,1360.0,1120.0,235.0,220.0,1270.0,385.0,420.0,210.0,105.0,160.0
3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502008,"Hawkesbury, Town (T)",10194.0,5308.0,1009.7,10.1,10195.0,1200.0,5745.0,450.0,385.0,3250.0,49.7,54.8,5080.0,5060.0,20.0,5080.0,4955.0,125.0,5075.0,3970.0,1105.0,1050.0,3265.0,1925.0,535.0,330.0,190.0,285.0
3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502010,"Champlain, Township (TP)",8665.0,3964.0,41.9,207.02,8665.0,1110.0,5180.0,440.0,340.0,2375.0,47.8,52.4,3750.0,3735.0,15.0,3750.0,3680.0,75.0,3680.0,3205.0,470.0,465.0,3185.0,1520.0,840.0,295.0,190.0,340.0
3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502023,"Alfred and Plantagenet, Township (TP)",9949.0,4297.0,25.4,391.79,9945.0,1575.0,6285.0,440.0,440.0,2085.0,43.8,46.4,4080.0,4055.0,25.0,4080.0,3980.0,100.0,3960.0,3285.0,675.0,630.0,3795.0,750.0,955.0,805.0,715.0,570.0
3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502025,"The Nation / La Nation, Municipality (M)",13350.0,5259.0,20.3,658.93,13350.0,2500.0,8820.0,690.0,580.0,2035.0,40.3,40.8,5100.0,5055.0,45.0,5100.0,4995.0,110.0,4880.0,4240.0,645.0,575.0,5290.0,1150.0,1375.0,1625.0,740.0,400.0
