,NOC Major Group,NOC Minor Group,National Occupational Classification (NOC),Economic region code,Economic region name,Minimum wage,Median wage,Maximum wage
0,00,0011,Legislators,3510,Ottawa,,,
1,00,0011,Legislators,3515,Kingston--Pembroke,,,
2,00,0011,Legislators,3520,Muskoka--Kawarthas,,,
3,00,0011,Legislators,3530,Toronto,,,
4,00,0011,Legislators,3540,Kitchener--Waterloo--Barrie,,,
5,00,0011,Legislators,3550,Hamilton--Niagara Peninsula,,,
6,00,0011,Legislators,3560,London,,,
7,00,0011,Legislators,3570,Windsor--Sarnia,,,
8,00,0011,Legislators,3580,Stratford--Bruce Peninsula,,,
9,00,0011,Legislators,3590,Northeast,,,
10,00,0011,Legislators,3595,Northwest,,,
11,00,0012,Senior government managers and officials,3510,Ottawa,,,
12,00,0012,Senior government managers and officials,3515,Kingston--Pembroke,,,
13,00,0012,Senior government managers and officials,3520,Muskoka--Kawarthas,,,
14,00,0012,Senior government managers and officials,3530,Toronto,36.06,55.0,86.54
15,00,0012,Senior government managers and officials,3540,Kitchener--Waterloo--Barrie,,,
16,00,0012,Senior government managers and officials,3550,Hamilton--Niagara Peninsula,36.06,55.0,86.54
17,00,0012,Senior government managers and officials,3560,London,,,
18,00,0012,Senior government managers and officials,3570,Windsor--Sarnia,,,
19,00,0012,Senior government managers and officials,3580,Stratford--Bruce Peninsula,,,
20,00,0012,Senior government managers and officials,3590,Northeast,,,
21,00,0012,Senior government managers and officials,3595,Northwest,,,
22,00,0013,"Senior managers - financial, communications and other business services",3510,Ottawa,32.05,57.69,97.44
23,00,0013,"Senior managers - financial, communications and other business services",3515,Kingston--Pembroke,,,
24,00,0013,"Senior managers - financial, communications and other business services",3520,Muskoka--Kawarthas,,,
25,00,0013,"Senior managers - financial, communications and other business services",3530,Toronto,32.97,63.46,96.15
26,00,0013,"Senior managers - financial, communications and other business services",3540,Kitchener--Waterloo--Barrie,31.73,62.31,94.87
27,00,0013,"Senior managers - financial, communications and other business services",3550,Hamilton--Niagara Peninsula,31.73,62.31,94.87
28,00,0013,"Senior managers - financial, communications and other business services",3560,London,,,
29,00,0013,"Senior managers - financial, communications and other business services",3570,Windsor--Sarnia,,,
30,00,0013,"Senior managers - financial, communications and other business services",3580,Stratford--Bruce Peninsula,,,
31,00,0013,"Senior managers - financial, communications and other business services",3590,Northeast,,,
32,00,0013,"Senior managers - financial, communications and other business services",3595,Northwest,,,
33,00,0014,"Senior managers - health, education, social and community services and membership organizations",3510,Ottawa,25.44,50.24,99.41
34,00,0014,"Senior managers - health, education, social and community services and membership organizations",3515,Kingston--Pembroke,,,
35,00,0014,"Senior managers - health, education, social and community services and membership organizations",3520,Muskoka--Kawarthas,,,
36,00,0014,"Senior managers - health, education, social and community services and membership organizations",3530,Toronto,18.86,53.46,123.68
37,00,0014,"Senior managers - health, education, social and community services and membership organizations",3540,Kitchener--Waterloo--Barrie,22.46,45.67,104.82
38,00,0014,"Senior managers - health, education, social and community services and membership organizations",3550,Hamilton--Niagara Peninsula,20.25,48.08,109.49
39,00,0014,"Senior managers - health, education, social and community services and membership organizations",3560,London,26.06,50.75,88.14
40,00,0014,"Senior managers - health, education, social and community services and membership organizations",3570,Windsor--Sarnia,,,
41,00,0014,"Senior managers - health, education, social and community services and membership organizations",3580,Stratford--Bruce Peninsula,,,
42,00,0014,"Senior managers - health, education, social and community services and membership organizations",3590,Northeast,,,
43,00,0014,"Senior managers - health, education, social and community services and membership organizations",3595,Northwest,26.89,44.83,83.04
44,00,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",3510,Ottawa,,,
45,00,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",3515,Kingston--Pembroke,,,
46,00,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",3520,Muskoka--Kawarthas,,,
47,00,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",3530,Toronto,14.35,56.37,203.49
48,00,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",3540,Kitchener--Waterloo--Barrie,14.35,48.93,132.25
49,00,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",3550,Hamilton--Niagara Peninsula,14.35,45.28,173.12
50,00,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",3560,London,,,
51,00,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",3570,Windsor--Sarnia,,,
52,00,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",3580,Stratford--Bruce Peninsula,,,
53,00,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",3590,Northeast,,,
54,00,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",3595,Northwest,,,
55,00,0016,"Senior managers - construction, transportation, production and utilities",3510,Ottawa,15.26,50.61,142.22
56,00,0016,"Senior managers - construction, transportation, production and utilities",3515,Kingston--Pembroke,,,
57,00,0016,"Senior managers - construction, transportation, production and utilities",3520,Muskoka--Kawarthas,,,
58,00,0016,"Senior managers - construction, transportation, production and utilities",3530,Toronto,14.35,57.03,190.41
59,00,0016,"Senior managers - construction, transportation, production and utilities",3540,Kitchener--Waterloo--Barrie,14.35,49.84,126.37
60,00,0016,"Senior managers - construction, transportation, production and utilities",3550,Hamilton--Niagara Peninsula,14.35,49.27,161.09
61,00,0016,"Senior managers - construction, transportation, production and utilities",3560,London,,,
62,00,0016,"Senior managers - construction, transportation, production and utilities",3570,Windsor--Sarnia,14.48,45.54,188.45
63,00,0016,"Senior managers - construction, transportation, production and utilities",3580,Stratford--Bruce Peninsula,,,
64,00,0016,"Senior managers - construction, transportation, production and utilities",3590,Northeast,14.35,49.5,155.97
65,00,0016,"Senior managers - construction, transportation, production and utilities",3595,Northwest,,,
66,01,0111,Financial managers,3510,Ottawa,32.45,51.57,78.02
67,01,0111,Financial managers,3515,Kingston--Pembroke,,,
68,01,0111,Financial managers,3520,Muskoka--Kawarthas,,,
69,01,0111,Financial managers,3530,Toronto,33.65,51.57,78.02
70,01,0111,Financial managers,3540,Kitchener--Waterloo--Barrie,28.21,43.27,64.1
71,01,0111,Financial managers,3550,Hamilton--Niagara Peninsula,28.85,50.55,79.12
72,01,0111,Financial managers,3560,London,37.02,50.0,78.21
73,01,0111,Financial managers,3570,Windsor--Sarnia,32.45,51.57,78.02
74,01,0111,Financial managers,3580,Stratford--Bruce Peninsula,,,
75,01,0111,Financial managers,3590,Northeast,,,
76,01,0111,Financial managers,3595,Northwest,25.48,47.5,74.18
77,01,0112,Human resources managers,3510,Ottawa,30.11,47.09,70.64
78,01,0112,Human resources managers,3515,Kingston--Pembroke,,,
79,01,0112,Human resources managers,3520,Muskoka--Kawarthas,30.11,47.09,70.64
80,01,0112,Human resources managers,3530,Toronto,28.85,46.15,70.19
81,01,0112,Human resources managers,3540,Kitchener--Waterloo--Barrie,28.0,41.83,63.19
82,01,0112,Human resources managers,3550,Hamilton--Niagara Peninsula,30.11,48.08,62.02
83,01,0112,Human resources managers,3560,London,,,
84,01,0112,Human resources managers,3570,Windsor--Sarnia,30.11,47.09,70.64
85,01,0112,Human resources managers,3580,Stratford--Bruce Peninsula,30.11,47.09,70.64
86,01,0112,Human resources managers,3590,Northeast,38.46,52.88,72.12
87,01,0112,Human resources managers,3595,Northwest,,,
88,01,0113,Purchasing managers,3510,Ottawa,31.25,57.69,67.03
89,01,0113,Purchasing managers,3515,Kingston--Pembroke,,,
90,01,0113,Purchasing managers,3520,Muskoka--Kawarthas,,,
91,01,0113,Purchasing managers,3530,Toronto,24.04,59.13,76.92
92,01,0113,Purchasing managers,3540,Kitchener--Waterloo--Barrie,32.69,57.69,67.03
93,01,0113,Purchasing managers,3550,Hamilton--Niagara Peninsula,31.25,57.69,67.03
94,01,0113,Purchasing managers,3560,London,31.25,57.69,67.03
95,01,0113,Purchasing managers,3570,Windsor--Sarnia,31.25,57.69,67.03
96,01,0113,Purchasing managers,3580,Stratford--Bruce Peninsula,,,
97,01,0113,Purchasing managers,3590,Northeast,31.25,57.69,67.03
98,01,0113,Purchasing managers,3595,Northwest,,,
99,01,0114,Other administrative services managers,3510,Ottawa,22.0,41.03,67.58
100,01,0114,Other administrative services managers,3515,Kingston--Pembroke,22.0,41.03,67.58
101,01,0114,Other administrative services managers,3520,Muskoka--Kawarthas,22.0,41.03,67.58
102,01,0114,Other administrative services managers,3530,Toronto,22.0,41.03,67.58
103,01,0114,Other administrative services managers,3540,Kitchener--Waterloo--Barrie,22.0,41.03,67.58
