ERC,ER,CD,CDC
3510, Ottawa,3501," Stormont, Dundas and Glengarry"
3510, Ottawa,3502, Prescott and Russell
3510, Ottawa,3506, Ottawa
3510, Ottawa,3507, Leeds and Grenville
3510, Ottawa,3509, Lanark
3515, Kingston-Pembroke,3510, Frontenac
3515, Kingston-Pembroke,3511, Lennox and Addington
3515, Kingston-Pembroke,3512, Hastings
3515, Kingston-Pembroke,3513, Prince Edward
3515, Kingston-Pembroke,3547, Renfrew
3520, Muskoka-Kawarthas,3514, Northumberland
3520, Muskoka-Kawarthas,3515, Peterborough
3520, Muskoka-Kawarthas,3516, Kawartha Lakes
3520, Muskoka-Kawarthas,3544, Muskoka
3520, Muskoka-Kawarthas,3546, Haliburton
3530, Toronto,3518, Durham
3530, Toronto,3519, York
3530, Toronto,3520, Toronto
3530, Toronto,3521, Peel
3530, Toronto,3524T, Halton (Toronto part)
3540, Kitchener-Waterloo-Barrie,3522, Dufferin
3540, Kitchener-Waterloo-Barrie,3523, Wellington
3540, Kitchener-Waterloo-Barrie,3530, Waterloo
3540, Kitchener-Waterloo-Barrie,3543, Simcoe
3550, Hamilton-Niagara Peninsula,3524H, Halton (Hamilton--Niagara Peninsula part)
3550, Hamilton-Niagara Peninsula,3525, Hamilton
3550, Hamilton-Niagara Peninsula,3526, Niagara
3550, Hamilton-Niagara Peninsula,3528, Haldimand
3550, Hamilton-Niagara Peninsula,3529, Brant
3560, London,3532, Oxford
3560, London,3534, Elgin
3560, London,3539, Middlesex
3570, Windsor-Sarnia,3536, Chatham
3570, Windsor-Sarnia,3537, Essex
3570, Windsor-Sarnia,3538, Lambton
3580, Stratford-Bruce Peninsula,3531, Perth
3580, Stratford-Bruce Peninsula,3540, Huron
3580, Stratford-Bruce Peninsula,3541, Bruce
3580, Stratford-Bruce Peninsula,3542, Grey
3590, Northeast,3548, Nipissing
3590, Northeast,3549, Parry Sound
3590, Northeast,3551, Manitoulin
3590, Northeast,3552, Sudbury
3590, Northeast,3553, Greater Sudbury
3590, Northeast,3554, Timiskaming
3590, Northeast,3556, Cochrane
3590, Northeast,3557, Algoma
3595, Northwest,3558, Thunder Bay
3595, Northwest,3559, Rainy River
3595, Northwest,3560, Kenora
