name,Snippet,description,longitude,latitude,altitude
Peterborough Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Peterborough_Airport"">Peterborough Airport</a>",-78.3633333333333,44.2305555555556,0
London International Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.1511111111111,43.0330555555556,0
Ottawa Macdonald-Cartier International Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-75.6691666666667,45.3225,0
Thunder Bay International Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-89.3238888888889,48.3719444444444,0
Toronto Pearson International Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.6305555555555,43.6772222222222,0
Ajax-Pickering General Hospital Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.0172222222222,43.8361111111111,0
French River/Alban Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.6041666666667,46.0933333333333,0
Alexandria Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-74.6166666666667,45.3333333333333,0
Algoma Mills Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.9513888888889,44.1797222222222,0
Allan Park Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.8333333333333,46.1833333333333,0
Alliston Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.8333333333333,44.1833333333333,0
Alliston (Stevenson Memorial Hospital) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.8741666666667,44.1552777777778,0
Almonte (General Hospital) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-76.1872222222222,45.2302777777778,0
Armstrong Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-88.91,50.2938888888889,0
Armstrong Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-89.05,50.25,0
Arnprior/South Renfrew Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-76.3658333333333,45.4136111111111,0
Arnprior Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-76.3597222222222,45.4075,0
Arthur (Arthur South) Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.4336111111111,43.7830555555556,0
Arthur (Damascus Field) Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.52,43.8966666666667,0
Arthur (Peskett Field) Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.485,43.7708333333333,0
Arthur (Walter's Field) Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.45,43.85,0
Astorville/Lake Nosbonsing Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.24,46.2027777777778,0
Atikokan (General Hospital) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-91.6,48.75,0
Atikokan Municipal Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-91.6388888888889,48.7741666666667,0
Atikokan Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-91.6666666666667,48.7666666666667,0
Attawapiskat Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.4319444444445,52.9275,0
Atwood/Coghlin Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.0044444444444,43.6833333333333,0
Ayr/Sargeant Private Airfield,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.4991666666667,43.3058333333333,0
Bala Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.6183333333333,44.0305555555556,0
Bala/Gibson Lake Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.7261111111111,44.9486111111111,0
Bala (Medora Lake) Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.6797222222222,45.0641666666667,0
Bala/Muskoka Float Flying Club Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.3886111111111,45.0355555555556,0
Lake Muskoka/Dudley Bay Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.6,45.0333333333333,0
Baldwin Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.3405555555556,44.2672222222222,0
Baldwin West Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.3616666666667,44.2775,0
Bancroft Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-77.8805555555555,45.0730555555556,0
Bancroft (North Hastings District Hospital) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-77.8788888888889,45.0713888888889,0
Barrie (Royal Victoria Hospital) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.6652777777778,44.4144444444444,0
Lake Simcoe Regional Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.5555555555556,44.4852777777778,0
Bar River Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-84.0922222222222,46.4202777777778,0
Bar River Water Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-84.1,46.4166666666667,0
Barry's Bay (St. Francis Memorial Hospital) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-77.6941666666667,45.4822222222222,0
Madawaska Valley Airpark,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-77.65,45.5,0
Beamsville/Panterra Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.4741666666667,43.1866666666667,0
Beardmore (Health Centre) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-87.9530555555556,49.6086111111111,0
Bearskin Lake Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-91.0272222222222,53.9655555555556,0
Beaverton Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.1002777777778,44.4475,0
Beaverton North Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-79.1261111111111,44.4594444444445,0
Belleville Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-77.3094444444444,44.1922222222222,0
Belleville (QHC) Heliport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-77.3502777777778,44.1672222222222,0
Belwood (Baird Field) Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.3119444444444,43.8083333333333,0
Belwood (Ellen Field) Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.3738888888889,43.8055555555556,0
Belwood (Wright Field) Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.4025,43.7938888888889,0
Blacksock/Martyn Aerodrome,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-78.7363888888889,44.0947222222222,0
