FID,Geography,Year,Measure,Rental_Universe,Total_Bedroom_Types,Bachelor,F1_Bedroom,F2_Bedroom,F3_or_More_Bedroom
1,Brampton,2021,Vacancy rate,Private Row Townhouse and Apartment Units,3,,2.9,3.2,3.2
2,Brampton,2021,Average rent,Private Row Townhouse and Apartment Units,1513,963,1381,1573,1731
3,Brampton,2021,Units,Private Row Townhouse and Apartment Units,10891,210,3646,5518,1517
4,Mississauga,2021,Vacancy rate,Private Row Townhouse and Apartment Units,3.5,2.7,4.6,3.2,2.2
5,Mississauga,2021,Average rent,Private Row Townhouse and Apartment Units,1569,1099,1434,1609,1802
6,Mississauga,2021,Units,Private Row Townhouse and Apartment Units,29852,726,10378,14421,4327
7,Peel,2021,Vacancy rate,Private Row Townhouse and Apartment Units,3.4,2.2,4.1,3.2,2.5
8,Peel,2021,Average rent,Private Row Townhouse and Apartment Units,1554,1063,1424,1600,1785
9,Peel,2021,Units,Private Row Townhouse and Apartment Units,40967,965,14097,20039,5866
10,Peel,2021,Units,Rental Condominium Apartments,15335,,,,
11,Peel,2021,Vacancy rate,Rental Condominium Apartments,0.9,,,,
12,Peel,2021,Average rent,Rental Condominium Apartments,2257,,1941,2303,2463
13,Peel,2021,Units,Total Condominium Universe (including rental units),50131,,,,
14,Toronto CMA,2021,Vacancy rate,Private Row Townhouse and Apartment Units,4.5,7.8,5.8,3.3,2.2
15,Toronto CMA,2021,Average rent,Private Row Townhouse and Apartment Units,1570,1217,1439,1680,1918
16,Toronto CMA,2021,Units,Private Row Townhouse and Apartment Units,327970,24923,132816,136658,33573
17,Toronto CMA,2021,Units,Rental Condominium Apartments,155568,,,,
18,Toronto CMA,2021,Vacancy rate,Rental Condominium Apartments,1.7,,,,
19,Toronto CMA,2021,Average rent,Rental Condominium Apartments,2303,1808,1928,2370,2733
20,Toronto CMA,2021,Units,Total Condominium Universe (including rental units),443823,,,,
21,Brampton,2020,Vacancy rate,Private Row Townhouse and Apartment Units,2.4,,2.8,2.4,1.2
22,Brampton,2020,Average rent,Private Row Townhouse and Apartment Units,1464,983,1333,1515,1649
23,Brampton,2020,Units,Private Row Townhouse and Apartment Units,10895,209,3650,5569,1467
24,Mississauga,2020,Vacancy rate,Private Row Townhouse and Apartment Units,2.4,2.9,3.1,2,1.7
25,Mississauga,2020,Average rent,Private Row Townhouse and Apartment Units,1515,1052,1384,1555,1751
26,Mississauga,2020,Units,Private Row Townhouse and Apartment Units,29492,650,10319,14210,4313
27,Peel,2020,Vacancy rate,Private Row Townhouse and Apartment Units,2.4,3.9,3,2.1,1.5
28,Peel,2020,Average rent,Private Row Townhouse and Apartment Units,1503,1037,1375,1544,1726
29,Peel,2020,Units,Private Row Townhouse and Apartment Units,40611,888,14042,19879,5802
30,Peel,2020,Units,Rental Condominium Apartments,14106,,,,
31,Peel,2020,Vacancy rate,Rental Condominium Apartments,0.8,,,,
32,Peel,2020,Average rent,Rental Condominium Apartments,2206,,1918,2397,2672
33,Peel,2020,Units,Total Condominium Universe (including rental units),48296,,,,
34,Toronto CMA,2020,Vacancy rate,Private Row Townhouse and Apartment Units,3.4,5.5,4,2.7,2.1
35,Toronto CMA,2020,Average rent,Private Row Townhouse and Apartment Units,1536,1204,1421,1637,1854
36,Toronto CMA,2020,Units,Private Row Townhouse and Apartment Units,326290,24583,133104,135146,33457
37,Toronto CMA,2020,Units,Rental Condominium Apartments,142381,,,,
38,Toronto CMA,2020,Vacancy rate,Rental Condominium Apartments,1.7,,,,
39,Toronto CMA,2020,Average rent,Rental Condominium Apartments,2323,1685,1973,2440,2772
40,Toronto CMA,2020,Units,Total Condominium Universe (including rental units),422110,,,,
41,Brampton,2019,Vacancy rate,Private Row Townhouse and Apartment Units,1.3,,1,1.3,
42,Brampton,2019,Average rent,Private Row Townhouse and Apartment Units,1401,917,1274,1447,1583
43,Brampton,2019,Units,Private Row Townhouse and Apartment Units,10996,210,3697,5612,1477
44,Mississauga,2019,Vacancy rate,Private Row Townhouse and Apartment Units,1.2,,1.2,1.2,
45,Mississauga,2019,Average rent,Private Row Townhouse and Apartment Units,1425,1007,1297,1462,1652
46,Mississauga,2019,Units,Private Row Townhouse and Apartment Units,29146,647,10190,14013,4296
47,Peel,2019,Vacancy rate,Private Row Townhouse and Apartment Units,1.2,2.1,1.2,1.2,1.3
48,Peel,2019,Average rent,Private Row Townhouse and Apartment Units,1418,987,1291,1458,1635
49,Peel,2019,Units,Private Row Townhouse and Apartment Units,40222,868,13913,19661,5780
50,Peel,2019,Units,Rental Condominium Apartments,13540,,,,
51,Peel,2019,Vacancy rate,Rental Condominium Apartments,0.4,,,,
52,Peel,2019,Average rent,Rental Condominium Apartments,2201,,1831,2275,2431
53,Peel ,2019,Units,Total Condominium Universe (including rental units),47651,,,,
54,Toronto CMA,2019,Vacancy rate,Private Row Townhouse and Apartment Units,1.5,2.1,1.6,1.4,1
55,Brampton,2010,Vacancy rate,Private Row Townhouse and Apartment Units,2,,2.2,1.5,
56,Peel,2015,Vacancy rate,Private Row Townhouse and Apartment Units,1.52317320875438,3.30046783625731,1.47018206039076,1.54125233064015,1.32134477324462
57,Brampton,2010,Average rent,Private Row Townhouse and Apartment Units,1050,737,937,1085,1234
58,Brampton,2010,Units,Private Row Townhouse and Apartment Units,10550,218,3411,5397,1524
59,Mississauga,2010,Vacancy rate,Private Row Townhouse and Apartment Units,1.8,,2.1,1.6,
60,Mississauga,2010,Average rent,Private Row Townhouse and Apartment Units,1064,723,949,1090,1281
61,Mississauga,2010,Units,Private Row Townhouse and Apartment Units,29057,662,10153,13800,4442
62,Peel,2010,Vacancy rate,Private Row Townhouse and Apartment Units,1.77945796041851,2.25859728506787,2.12279991162825,1.5692703728743,1.60465427758245
63,Peel,2010,Average rent,Private Row Townhouse and Apartment Units,1058.88249551847,726.468181818182,945.982306104394,1088.59431161119,1268.99396580624
64,Peel,2010,Units,Private Row Townhouse and Apartment Units,39665,884,13579,19229,5973
65,Toronto CMA,2010,Vacancy rate,Private Row Townhouse and Apartment Units,2.1,2.3,2.4,1.9,1.7
66,Toronto CMA,2010,Average rent,Private Row Townhouse and Apartment Units,1048,777,949,1123,1329
67,Toronto CMA,2010,Units,Private Row Townhouse and Apartment Units,313993,24241,127985,128698,33069
68,Brampton,2009,Vacancy rate,Private Row Townhouse and Apartment Units,3.7,,2.7,3.5,
69,Brampton,2009,Average rent,Private Row Townhouse and Apartment Units,1044,718,930,1071,1202
70,Brampton,2009,Units,Private Row Townhouse and Apartment Units,10550,213,3437,5366,1534
71,Mississauga,2009,Vacancy rate,Private Row Townhouse and Apartment Units,3,,3.4,2.8,
72,Mississauga,2009,Average rent,Private Row Townhouse and Apartment Units,1049,725,928,1067,1292
73,Mississauga,2009,Units,Private Row Townhouse and Apartment Units,29031,660,10140,13797,4434
74,Peel,2009,Vacancy rate,Private Row Townhouse and Apartment Units,3.14138600872878,4.54310148232611,3.21923925838729,2.99101849439958,3.24160669456067
75,Peel,2009,Average rent,Private Row Townhouse and Apartment Units,1042.89292842525,723.292096219931,928.506297414746,1068.12007514481,1268.86662198391
76,Peel,2009,Units,Private Row Townhouse and Apartment Units,39639,877,13592,19195,5975
77,Toronto CMA,2009,Vacancy rate,Private Row Townhouse and Apartment Units,3.1,4.9,3,2.8,2.8
78,Toronto CMA,2009,Average rent,Private Row Townhouse and Apartment Units,1018,758,926,1096,1299
79,Toronto CMA,2009,Units,Private Row Townhouse and Apartment Units,315375,24393,128812,129144,33026
80,Brampton,2008,Vacancy rate,Private Row Townhouse and Apartment Units,3.2,,4.4,2,
81,Brampton,2008,Average rent,Private Row Townhouse and Apartment Units,1033,704,931,1056,1217
82,Brampton,2008,Units,Private Row Townhouse and Apartment Units,10543,218,3433,5358,1534
83,Mississauga,2008,Vacancy rate,Private Row Townhouse and Apartment Units,2.1,,2.4,1.9,
84,Mississauga,2008,Average rent,Private Row Townhouse and Apartment Units,1042,715,925,1066,1264
85,Mississauga,2008,Units,Private Row Townhouse and Apartment Units,29128,661,10185,13845,4437
86,Peel,2008,Vacancy rate,Private Row Townhouse and Apartment Units,2.38309295476856,2.98640996602491,2.90099024426025,1.92469456719522,2.58785547005688
87,Peel,2008,Average rent,Private Row Townhouse and Apartment Units,1036.91358927176,712.271899886234,926.512556909972,1063.20981096704,1251.92530564395
88,Peel,2008,Units,Private Row Townhouse and Apartment Units,39729,883,13633,19235,5978
89,Toronto CMA,2008,Vacancy rate,Private Row Townhouse and Apartment Units,2,2.1,2.1,1.9,2.2
90,Toronto CMA,2008,Average rent,Private Row Townhouse and Apartment Units,1021,764,927,1095,1293
91,Toronto CMA,2008,Units,Private Row Townhouse and Apartment Units,314591,24203,127947,129407,33034
92,Brampton,2007,Vacancy rate,Private Row Townhouse and Apartment Units,2.1,,1.8,1.9,
93,Brampton,2007,Average rent,Private Row Townhouse and Apartment Units,987,703,895,1022,1144
94,Brampton,2007,Units,Private Row Townhouse and Apartment Units,9938,219,3142,5137,1440
95,Mississauga,2007,Vacancy rate,Private Row Townhouse and Apartment Units,2.8,,2.7,2.7,
