NAME,NAME
Sault Ste. Marie,3
Armstrong,3
Sioux Lookout,3
Deer Lake,2
Bar River,2
Sandy Lake,2
Kenora,2
Keene/Elmhirst`s Resort,2
Moosonee,2
Nakina,2
Round Lake (Weagamow Lake),2
Nestor Falls,2
Thunder Bay,2
Ignace,2
Ottawa/Rockcliffe,2
North Bay,2
Chapleau,2
Mattawa,2
Cochrane,2
Gananoque,2
Vermilion Bay,2
Pickle Lake,2
Elk Lake,2
Pikangikum,2
Alliston,2
Red Lake,2
Hamilton (General Hospital),1
Fort Frances Muni,1
Haliburton/Stanhope Muni,1
Hamilton,1
Hamilton (Chedoke-McMaster Hospitals),1
Fort Frances,1
Hanover (District Hospital),1
Fort Hope,1
Hanover/Saugeen Muni,1
Harrow,1
Hawk Junction,1
Hawkesbury,1
Hawkesbury (East),1
Haliburton (Hospital),1
Gooderham/Pencil Lake,1
Fort Severn,1
Gore Bay-Manitoulin,1
Goderich,1
Gowganda Lake,1
Grand Bend,1
Geraldton/Hutchison Lake,1
Grand River,1
Geraldton (Greenstone Regional),1
Hawkesbury (Windover Field),1
Granitehill Lake,1
Greenbank,1
Grimsby Air Park,1
Guelph,1
Geraldton (District Hospital),1
Hagersville (West Haldimand General Hospital),1
Haliburton,1
Georgetown (Georgetown & District Hospital),1
York,1
Hornepayne,1
Head Lake,1
Hearst (René Fontaine) Muni,1
Kincardine,1
Kincardine (South Bruce Grey Health Centre),1
Kincardine/Shepherd's Landing,1
Kingfisher Lake,1
Kingston,1
Kingston (General Hospital),1
Kirkland Lake,1
Kitchener-Waterloo (Grand River Hosp),1
Kitchener/Waterloo,1
Lac la Croix,1
Lake Muskoka/Alport Bay,1
Lake Muskoka/Dudley Bay,1
Lake Muskoka/Mortimer`s Point,1
Lake Rosseau/Arthurlie Bay,1
Lake Rosseau/Cameron Bay,1
Lake Rosseau/Windermere,1
Lansdowne House,1
Leamington,1
Lefroy,1
Killarney,1
Kenora (Lake Of The Woods District Hospital),1
Keewaywin,1
Huntsville/Bella Lake,1
Hearst/Carey Lake,1
Highgate,1
Holland Landing Airpark,1
Fort Erie,1
Hornepayne Muni,1
Hudson,1
Huntsville,1
Huntsville (Memorial District Hospital),1
Huntsville/Deerhurst Resort,1
Kashechewan,1
Ignace Muni,1
Iroquois,1
Iroquois Falls,1
Kakabeka Falls,1
Kapuskasing,1
Kars/Rideau Valley Air Park,1
Kasabonika,1
Kashabowie/Upper Shebandowan Lake,1
Fort Erie (Eurocopter Canada),1
Essex,1
Fort Albany,1
Cambridge/Reid`s Field,1
Barry`s Bay (St. Francis Memorial Hospital),1
Batchawana,1
Beardmore (Health Centre),1
Bearskin Lake,1
Belleville,1
Big Hook Wilderness Camp,1
Big Trout Lake,1
Bolton,1
Borden,1
Bowmanville (Memorial Hospital),1
Bracebridge (South Muskoka Memorial Hospital),1
Bradford,1
Brampton,1
"Brampton (National ""D"")",1
"Brampton (National ""P"")",1
Brantford,1
Brockville-Thousand Islands Regional Tackaberry,1
Brussels (Armstrong Field),1
Burditt Lake,1
Barry's Bay/Madawaska Valley Airpark,1
Barrie-Orillia (Lake Simcoe Regional),1
Barrie (Royal Victoria Hosp),1
Arthur (Walter's Field),1
Alexandria,1
Algoma Mills,1
Alliston (Stevenson Memorial Hospital),1
Angling Lake/Wapekeka,1
Armstrong/Waweig Lake,1
Arnprior,1
Arnprior/South Renfrew Muni,1
Arnstein,1
Atikokan,1
Bancroft (North Hastings District Hospital),1
Atikokan (General Hospital),1
Atikokan Muni,1
Attawapiskat,1
Atwood,1
Atwood/Coghlin,1
Bala/Gibson Lake,1
Baldwin,1
Bancroft,1
Burlington Executive,1
Carey Lake,1
Fordwich,1
Carleton Place,1
Dryden Best Western,1
Dryden Regional,1
Dunnville,1
Dunnville (Haldimand War Memorial Hospital),1
Durham (Memorial Hospital),1
Eagle River,1
Ear Falls,1
Earlton (Timiskaming Regional),1
Edenvale,1
Elliot Lake Muni,1
Elmira,1
Elmira (East),1
Emsdale,1
Englehart (District Hospital),1
Listowel,1
Ethel,1
Fergus (Groves Memorial Community Hospital),1
Fergus (Juergensen Field),1
Five Mile Lake,1
Dryden,1
Dorset/Kawagama Lake (Old Mill Marina),1
Deer Lake/Keyamawun,1
Collingwood (General and Marine Hospital),1
Carleton Place (District Memorial Hospital),1
Cat Lake,1
Centralia/James T. Field Memorial,1
Chatham (Public General Hospital),1
Chatham-Kent,1
Cobden/Bruce McPhail Memorial,1
