,AIRPORT_TYPE,NAME,AIRPORT_IDENT,LATITUDE,LONGITUDE
0,Airport,Elmira (East),CPG4,43.5943156,80.51184559999999
1,Airport,Elmira,CNT6,43.5845378,80.60210749999999
2,Airport,Sandy Lake,CZSJ,53.0638353,93.3441318
3,Airport,Deer Lake,CYVZ,52.654512,94.0594386
4,Airport,Keewaywin,CPV8,52.990883600000004,92.8355983
5,Airport,North Spirit Lake,CKQ3,52.488358999999996,92.9691057
6,Airport,Poplar Hill,CPV7,52.1134537,94.25614190000002
7,Airport,Pikangikum,CYPM,51.8197766,93.97350870000001
8,Airport,Pelee Island,CYPT,41.7785937,82.6758797
9,Hospital Heliport,Port Colborne (General Hospital),CPX5,42.8793117,79.25679090000001
10,Airport,Brantford,CYFD,43.131713399999995,80.34178829999999
11,Airport,Stratford Muni,CNM4,43.416866399999996,80.93418759999999
12,Hospital Heliport,Mount Forest (Louise Marshall Hospital),CPA2,43.9742741,80.7376404
13,Airport,Arthur (Walter's Field),CPC3,43.8377779,80.4403653
14,Airport,Orton/Smith Field,CPS7,43.77374520000001,80.229099
15,Hospital Heliport,Fergus (Groves Memorial Community Hospital),CPB2,43.7225123,80.3752988
16,Airport,Fergus (Juergensen Field),CPG7,43.73584279999999,80.44808570000001
17,Airport,Palmerston,CPR3,43.853924400000004,80.7827685
18,Hospital Heliport,Palmerston (District Hospital),CPA3,43.838718799999995,80.84296529999999
19,Airport,Fordwich,CPH9,43.8870641,80.99600629999999
20,Airport,Listowel,CPN5,43.738484899999996,80.9956652
21,Airport,Atwood,CNN4,43.6936894,81.0021215
22,Airport,Ethel,CPD2,43.7436995,81.17758719999999
23,Airport,Atwood/Coghlin,CAT1,43.6838167,81.0034072
24,Airport,Brussels (Armstrong Field),CPD4,43.7478444,81.2381168
25,Airport,Wingham/Richard W. LeVan,CPR7,43.8656348,81.3005098
26,Airport,Goderich,CYGD,43.7665623,81.71189040000002
27,Airport,Sexsmith/Exeter,CSX7,43.375955499999996,81.5057927
