COMMUNITY,COMMUNITY
Toronto,84
Ottawa,28
Hamilton,27
Mississauga,15
London,15
Brampton,11
Burlington,10
Windsor,10
Barrie,9
St. Catharines,9
Cambridge,8
Kawartha Lakes,8
Vaughan,7
Greater Sudbury,7
Kitchener,7
Sarnia,6
Niagara Falls,6
Thunder Bay,6
Kingston,6
Oakville,5
Richmond Hill,5
Brantford,5
Peterborough,5
Sault Ste. Marie,5
Cornwall,5
Guelph,5
Markham,5
Welland,5
Orillia,4
Belleville,4
Oshawa,4
Owen Sound,4
Newmarket,4
Whitby,4
Prince Edward,4
St. Thomas,4
Waterloo,4
Simcoe,3
Fort Erie,3
Grimsby,3
Chatham,3
Leamington,3
Cobourg,3
Port Hope,3
Niagara-on-the-Lake,3
Collingwood,3
Parry Sound,3
Stratford,3
Ajax,3
Whitchurch-Stouffville,3
Shelburne,2
North Bay,2
Aylmer,2
Aurora,2
New Tecumseth,2
Napanee,2
Deep River,2
Mitchell,2
Brockville,2
Midland,2
Dunnville,2
Elmira,2
Espanola,2
Fergus,2
Woodstock,2
Tillsonburg,2
Lincoln,2
Georgina,2
West Nipissing,2
Kirkland Lake,2
Kenora,2
Kemptville,2
Kapuskasing,2
Ingersoll,2
Huntsville,2
Haliburton,2
Hanover,2
Timmins,2
Mississippi Mills,2
Halton Hills,2
Pembroke,2
Blind River,2
Bolton,2
Chesley,2
Quinte West,2
Pickering,2
Petrolia,2
Strathroy,2
Perth,2
Renfrew,2
Tecumseh,2
Tavistock,2
Saint Marys,2
Brant,2
Temiskaming Shores,2
Brussels,1
Brighton,1
Forest,1
Arnprior,1
Amherstview,1
Fort Frances,1
Gananoque,1
Cannington,1
Campbellford,1
Geraldton,1
Goderich,1
Bradford West Gwillimbury,1
Hagersville,1
Gore Bay,1
Bowmanville,1
Bracebridge,1
Amherstburg,1
Fordwich,1
Akwesasne,1
Alexandria,1
Gravenhurst,1
Greater Napanee,1
Carleton Place,1
Blenheim,1
Chapleau,1
Delhi,1
Barry's Bay,1
Cochrane,1
Corbeil,1
Cobden,1
Bancroft,1
Clinton,1
Atikokan,1
Courtland,1
Creemore,1
Clarence-Rockland,1
Athens,1
Delaware,1
Deseronto,1
Exeter,1
Dryden,1
Clarence Creek,1
Durham,1
Dutton,1
Elliot Lake,1
Elmvale,1
Embrun,1
Arthur,1
Emo,1
Beaverton,1
Chatsworth,1
Essex,1
Englehart,1
Zurich,1
Hampton,1
Rainy River,1
Southampton,1
South Woodslee,1
Smooth Rock Falls,1
Smiths Falls,1
Sioux Lookout,1
Seaforth,1
Ridgetown,1
Red Lake,1
Puslinch,1
Harriston,1
Prescott,1
Powassan,1
Port Stanley,1
Port Perry,1
Port Dover,1
Port Colborne,1
Plantagenet,1
Penetanguishene,1
Southwold,1
St. Jacobs,1
Stayner,1
Stirling,1
Wingham,1
Winchester,1
Wikwemikong,1
Wiarton,1
Wawa,1
Watford,1
Warkworth,1
Wardsville,1
Wallaceburg,1
Walkerton,1
Uxbridge,1
Tweed,1
Townsend,1
Tilbury,1
Thornbury,1
Thessalon,1
Terrace Bay,1
Parkhill,1
Palmerston,1
Orangeville,1
Lucknow,1
Little Current,1
Listowel,1
Lion's Head,1
Limoges,1
Lancaster,1
Lakefield,1
L'Orignal,1
Komoka,1
Kingsville,1
King City,1
Kincardine,1
Jasper,1
Iroquois Falls,1
Hornepayne,1
Hensall,1
Hearst,1
Hawkesbury,1
Long Sault,1
Manitouwadge,1
Ohsweken,1
Markdale,1
Norwood,1
Northbrook,1
Nipigon,1
Newcastle,1
New Hamburg,1
Mount Forest,1
Minden,1
Milverton,1
Milton,1
Millbrook,1
Merrickville,1
Meaford,1
Maxville,1
Mattawa,1
Matheson,1
Maryhill,1
Marmora,1
Ailsa Craig,1
