X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-79.567455842,43.643880675,36,172388779,M612,Long-Term Care Home,Non-Profit,Wesburn Manor, , , ,400 The West Mall, , ,Toronto,M9C5S1,20220428135916,20220426155142
-79.4822749209999,43.7175326920001,41,172388555,909,Long-Term Care Home,For-Profit,North Park Nursing Home, , , ,450 Rustic Road, , ,Toronto,M6L1W9,20220428140056,20220426155113
-78.74398984,44.338683534,64,172388761,M589,Long-Term Care Home,Non-Profit,Victoria Manor Home for the Aged, , , ,220 Angeline Street South, , ,Kawartha Lakes,K9V4R2,20220428140040,20220426155140
-79.921456419,43.2372528870001,130,172388343,2858,Long-Term Care Home,For-Profit,Extendicare Hamilton, , , ,90 Chedmac Drive, , ,Hamilton,L9C7S6,20220428140002,20220426155045
-79.56776795,43.737277191,135,172388787,2663,Long-Term Care Home,For-Profit,Westside, , , ,1145 Albion Road, , ,Toronto,M9V4J7,20220428140057,20220426155143
-80.876304402,43.0319564050001,197,172388796,M614,Long-Term Care Home,Non-Profit,Woodingford Lodge - Ingersoll, , , ,325 Thames Street South, , ,Ingersoll,N5C2T8,20220428140040,20220426155144
-77.403932291,44.1600673630001,202,172388205,2901,Long-Term Care Home,For-Profit,Belmont Long Term Care Facility, , , ,250 Bridge Street West, , ,Belleville,K8P5N3,20220428140002,20220426155026
-85.824691391,49.1276583910001,209,172388632,2810,Long-Term Care Home,Non-Profit,SantP Manitouwadge Health, , , ,1 Health Care Crescent, , ,Manitouwadge,P0T2C0,20220428140057,20220426155123
-79.63082308,43.840128706,224,172388764,2969,Long-Term Care Home,Non-Profit,Villa Colombo Seniors Centre (Vaughan), , , ,10443 Highway 27,Kleinburg, ,Vaughan,L0J1C0,20220428140057,20220426155140
-79.163451225,43.7833024180001,229,172388737,3001,Long-Term Care Home,Non-Profit,Tony Stacey Centre for Veterans' Care, , , ,59 Lawson Road, , ,Toronto,M1C2J1,20220428135946,20220426155137
-83.04161551,42.316308173,231,172388209,2541,Long-Term Care Home,For-Profit,Berkshire Care Centre, , , ,350 Dougall Avenue, , ,Windsor,N9A4P4,20220428140021,20220426155027
-79.478913451,44.0574782510001,248,172388498,2611,Long-Term Care Home,For-Profit,MacKenzie Place, , , ,52 George Street, , ,Newmarket,L3Y4V3,20220428140114,20220426155105
-79.361647935,44.3038766990001,310,172388616,1021,Long-Term Care Home,For-Profit,River Glen Haven Nursing Home, , , ,160 High Street,Postal Office Box 368, ,Georgina,L0E1R0,20220428135946,20220426155121
-76.1541972649999,45.135796387,315,172388678,2637,Long-Term Care Home,For-Profit,Stoneridge Manor, , , ,256 High Street, , ,Carleton Place,K7C1X1,20220428135931,20220426155129
-79.8780000419999,44.7400000490001,364,172388715,3056,Long-Term Care Home,For-Profit,The Villa Care Centre, , , ,658 King Street, , ,Midland,L4R4P3,20220428135916,20220426155134
