X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-79.67055927,43.592588461,20,172386823,T0165,Retirement Home, ,Evergreen Retirement Residence, , , ,820 Scollard Court, , ,Mississauga,L5V0A1,20220428140054,20220426154720
-77.141098852,45.8320704610001,30,172386730,N0062,Retirement Home, ,Chartwell Pembroke Heritage Retirement Residence, , , ,1111 Pembroke Street, , ,Pembroke,K8A8P6,20220428140111,20220426154707
-77.7877601119999,44.1238549400001,43,172386849,N0007,Retirement Home, ,Golden Pond Retirement Residence, , , ,387 Goodrich Road, , ,Codrington,K0K1R0,20220428140000,20220426154723
-81.241815511,42.9708552770001,44,172386853,S0386,Retirement Home, ,Grand Wood Park, , , ,81 Grand Avenue, , ,London,N6C1M2,20220428140036,20220426154724
-75.755493851,45.342837939,65,172386775,N0410,Retirement Home, ,City View Retirement Community, , , ,151 Meadowlands Drive, , ,Ottawa,K2G2S3,20220428140112,20220426154713
-79.914534816,43.231053586,91,172387270,S0010,Retirement Home, ,Villa Italia Retirement Residence, , , ,530 Upper Paradise Road, , ,Hamilton,L9C7W2,20220428135929,20220426154820
-79.7297342689999,43.3688013190001,98,172387153,S0170,Retirement Home, ,Sunrise of Burlington, , , ,5401 Lakeshore Road, , ,Burlington,L7L6S5,20220428140037,20220426154804
-76.5751311289999,44.2550382160001,115,172387087,N0458,Retirement Home, ,Rosewood Retirement Residence, , , ,833 Sutton Mills Court, , ,Kingston,K7P2N9,20220428140054,20220426154755
-83.7884032589999,46.3030067980001,126,172386943,N0146,Retirement Home, ,Light-Haven Home Inc., , , ,38 Desbarats Street, , ,Bruce Mines,P0R1C0,20220428140112,20220426154736
-80.203982084,44.083113321,137,172387124,T0489,Retirement Home, ,Shelburne Retirement Community, , , ,200 Robert Street, , ,Shelburne,L9V3S1,20220428140000,20220426154800
-79.851475898,43.2509392920001,146,172387177,S0349,Retirement Home, ,The Carlisle Retirement Residence, , , ,467 Main Street, , ,Hamilton,L8N1K1,20220428140054,20220426154807
-79.422308798,43.6730373870001,157,172386771,T0178,Retirement Home, ,Christie Gardens, , , ,600 Melita Crescent, , ,Toronto,M6G3Z4,20220428140112,20220426154713
-79.443695914,43.778142804,170,172387004,T0457,Retirement Home, ,One Kenton Place, , , ,3 Kenton Road,Unit 1, ,Toronto,M2R2H6,20220428140037,20220426154744
-79.453995515,43.752645199,188,172386908,T0524,Retirement Home, ,Kensington Place Retirement Residence, , , ,866 Sheppard Avenue, , ,Toronto,M3H2T5,20220428140054,20220426154731
-79.8589954999999,43.2530962920001,198,172386830,S0193,Retirement Home, ,First Place Hamilton, , , ,360 King Street,Suite 241, ,Hamilton,L8N3Y2,20220428140112,20220426154721
-81.241858612,42.9800970790001,211,172386969,S0469,Retirement Home, ,Maple View Terrace, , , ,279 Horton Street, , ,London,N6B1L3,20220428140000,20220426154739
-82.3568801599999,42.9836521240001,212,172386928,S0147,Retirement Home, ,Landmark Village Signature Retirement Community, , , ,1370 L'Heritage Drive, , ,Sarnia,N7S6H8,20220428140037,20220426154734
-79.5873028399999,43.5470502570001,221,172386736,T0100,Retirement Home, ,Chartwell Regency Retirement Residence, , , ,29 Mississauga Road, , ,Mississauga,L5H2H7,20220428135944,20220426154708
-79.218768239,43.740768808,226,172387100,T0139,Retirement Home, ,Scarborough Retirement Residence, , , ,148 Markham Road, , ,Toronto,M1M2Z8,20220428140000,20220426154757
